eall,i,r,t,Value
CO2,biopower,p43,2050,3346.198476
CO2,biopower,p46,2010,985.978567
CO2,biopower,p46,2015,1000.645376
CO2,biopower,p46,2020,693.756505
CO2,biopower,p46,2023,400.765745
CO2,biopower,p46,2026,398.626559
CO2,biopower,p46,2029,481.894168
CO2,biopower,p46,2032,424.00599
CO2,biopower,p46,2035,360.132111
CO2,biopower,p46,2038,354.210308
CO2,biopower,p46,2041,371.863523
CO2,biopower,p46,2044,357.96144
CO2,biopower,p46,2047,344.775041
CO2,biopower,p46,2050,329.281741
CO2,biopower,p58,2010,238.873847
CO2,biopower,p58,2015,238.873847
CO2,biopower,p58,2020,238.873847
CO2,biopower,p58,2023,238.873847
CO2,biopower,p58,2026,238.873847
CO2,biopower,p63,2015,872.7588
CO2,biopower,p63,2020,872.7588
CO2,biopower,p63,2023,872.7588
CO2,biopower,p63,2026,872.7588
CO2,biopower,p63,2029,953.238629
CO2,biopower,p63,2032,6608.827806
CO2,biopower,p63,2035,5829.12524
CO2,biopower,p63,2038,5771.338943
CO2,biopower,p63,2041,5203.875923
CO2,biopower,p63,2044,5221.36044
CO2,biopower,p63,2047,4833.383287
CO2,biopower,p63,2050,4622.159517
CO2,biopower,p66,2015,2557.183284
CO2,biopower,p66,2020,2557.183284
CO2,biopower,p66,2023,2557.183284
CO2,biopower,p66,2026,2557.183284
CO2,biopower,p66,2029,14369.790489
CO2,biopower,p66,2032,22608.800077
CO2,biopower,p66,2035,17388.468966
CO2,biopower,p66,2038,17798.334823
CO2,biopower,p66,2041,15872.920699
CO2,biopower,p66,2044,16670.263408
CO2,biopower,p66,2047,15436.849653
CO2,biopower,p66,2050,14128.793517
CO2,biopower,p70,2015,17.455176
CO2,biopower,p70,2020,17.455176
CO2,biopower,p70,2023,17.455176
CO2,biopower,p70,2026,17.455176
CO2,biopower,p70,2029,124.615486
CO2,biopower,p70,2032,129.826759
CO2,biopower,p70,2035,109.611247
CO2,biopower,p70,2038,107.845536
CO2,biopower,p70,2041,107.104131
CO2,biopower,p70,2044,102.95631
CO2,biopower,p70,2047,98.880892
CO2,biopower,p70,2050,94.095983
CO2,biopower,p74,2010,337.172978
CO2,biopower,p74,2015,337.172978
CO2,biopower,p74,2020,337.172978
CO2,biopower,p74,2023,337.172978
CO2,biopower,p74,2026,337.172978
CO2,biopower,p74,2029,337.172978
CO2,biopower,p75,2010,768.027744
CO2,biopower,p75,2015,1590.166534
CO2,biopower,p75,2020,1590.166534
CO2,biopower,p75,2023,1590.166534
CO2,biopower,p75,2026,1590.166534
CO2,biopower,p75,2029,3832.716773
CO2,biopower,p75,2032,6425.661118
CO2,biopower,p75,2035,5311.305718
CO2,biopower,p75,2038,5321.428471
CO2,biopower,p75,2041,5398.977041
CO2,biopower,p75,2044,5203.166981
CO2,biopower,p75,2047,4964.273033
CO2,biopower,p75,2050,4707.537249
CO2,biopower,p76,2015,24.437246
CO2,biopower,p76,2020,24.437246
CO2,biopower,p76,2023,24.437246
CO2,biopower,p76,2026,24.437246
CO2,biopower,p76,2029,114.83769
CO2,biopower,p76,2032,190.996296
CO2,biopower,p76,2035,158.559837
CO2,biopower,p76,2038,159.547357
CO2,biopower,p76,2041,162.728218
CO2,biopower,p76,2044,157.27502
CO2,biopower,p76,2047,149.80708
CO2,biopower,p76,2050,142.175867
CO2,biopower,p77,2010,1169.11836
CO2,biopower,p77,2015,27.928282
CO2,biopower,p77,2020,27.928282
CO2,biopower,p77,2023,27.928282
CO2,biopower,p77,2026,27.928282
CO2,biopower,p77,2029,115.119855
CO2,biopower,p77,2032,202.740842
CO2,biopower,p77,2035,180.066056
CO2,biopower,p77,2038,177.105154
CO2,biopower,p77,2041,185.800714
CO2,biopower,p77,2044,177.018916
CO2,biopower,p77,2047,171.208091
CO2,biopower,p77,2050,161.918462
CO2,biopower,p78,2015,69.820704
CO2,biopower,p78,2020,69.820704
CO2,biopower,p78,2023,69.820704
CO2,biopower,p78,2026,69.820704
CO2,biopower,p78,2029,312.553161
CO2,biopower,p78,2032,551.434023
CO2,biopower,p78,2035,453.028107
CO2,biopower,p78,2038,455.849593
CO2,biopower,p78,2041,467.364752
CO2,biopower,p78,2044,449.3572
CO2,biopower,p78,2047,428.020228
CO2,biopower,p78,2050,406.216764
CO2,biopower,p79,2015,34.910352
CO2,biopower,p79,2020,34.910352
CO2,biopower,p79,2023,34.910352
CO2,biopower,p79,2026,34.910352
CO2,biopower,p79,2029,187.186925
CO2,biopower,p79,2032,287.604501
CO2,biopower,p79,2035,227.727547
CO2,biopower,p79,2038,227.924796
CO2,biopower,p79,2041,237.407195
CO2,biopower,p79,2044,227.256751
CO2,biopower,p79,2047,218.382203
CO2,biopower,p79,2050,208.458439
CO2,biopower,p80,2010,400.029853
CO2,biopower,p80,2015,52.365528
CO2,biopower,p80,2020,52.365528
CO2,biopower,p80,2023,65.545979
CO2,biopower,p80,2026,52.365528
CO2,biopower,p80,2029,522.543047
CO2,biopower,p80,2032,508.965677
CO2,biopower,p80,2035,378.354536
CO2,biopower,p80,2038,384.576204
CO2,biopower,p80,2041,370.94508
CO2,biopower,p80,2044,376.240114
CO2,biopower,p80,2047,348.625592
CO2,biopower,p80,2050,336.567607
CO2,biopower,p85,2010,205.240493
CO2,biopower,p85,2015,205.240493
CO2,biopower,p85,2020,205.240493
CO2,biopower,p90,2010,2502.438322
CO2,biopower,p90,2015,1603.524237
CO2,biopower,p92,2010,31.419317
CO2,biopower,p92,2015,31.419317
CO2,biopower,p92,2020,31.419317
CO2,biopower,p92,2023,31.419317
CO2,biopower,p92,2026,31.419317
CO2,biopower,p92,2029,31.419317
CO2,biopower,p92,2032,31.419317
CO2,biopower,p92,2035,169.417188
CO2,biopower,p92,2038,104.412559
CO2,biopower,p92,2041,162.786852
CO2,biopower,p92,2044,149.25377
CO2,biopower,p92,2047,153.421851
CO2,biopower,p94,2010,3893.893826
CO2,biopower,p94,2015,1274.227848
CO2,biopower,p94,2020,4163.059476
CO2,biopower,p94,2023,4163.059476
CO2,biopower,p94,2026,4163.059476
CO2,biopower,p94,2029,46370.134486
CO2,biopower,p94,2032,47348.198433
CO2,biopower,p94,2035,35459.679989
CO2,biopower,p94,2038,35286.520221
CO2,biopower,p94,2041,34746.636931
CO2,biopower,p94,2044,33368.294589
CO2,biopower,p94,2047,32599.875415
CO2,biopower,p94,2050,31612.780254
CO2,biopower,p96,2010,2905.414308
