,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2528959652.56,1320489536.8254106,1204045881.6399999,2422029681.965,4497794809.44,6.0,364.78475000000003,190.47144437158818,173.67510000000001,349.3609,648.7756
AL,2015,6.0,606593361.7183334,341714251.6546543,270995700.28,576441996.12,1173257110.09,6.0,87.49686666666666,49.289878197076796,39.0893,83.14775,169.23409999999998
AL,2020,6.0,683934000.9,357449866.41187763,326394925.29999995,656399748.075,1218402338.58,6.0,98.6527,51.55964813875284,47.080200000000005,94.68105,175.74599999999998
AL,2023,6.0,1016153596.09,539660237.9917561,476001651.61,970677589.755,1845795195.0,6.0,146.57305,77.84222549765005,68.6599,140.0135,266.243
AL,2026,6.0,910074635.6199999,484836350.29602665,425481365.61999995,869505444.125,1659401261.5,6.0,131.2718833333333,69.9342371141465,61.3726,125.42009999999999,239.357
AL,2029,6.0,1528547816.2366667,817548134.193639,713631488.1,1461747571.01,2800588899.48,6.0,220.4823333333333,117.92563446207387,102.9363,210.8468,403.96529999999996
AL,2032,6.0,649372179.4716667,361948193.1182744,292003580.7,616970243.48,1242840345.95,6.0,93.66741666666667,52.208456094713874,42.1195,88.99369999999999,179.271
AL,2035,6.0,125727898.97000001,67547099.92844342,58413319.66,120091478.59,231511221.75,6.0,18.135416666666668,9.743255346836943,8.425699999999999,17.3224,33.394
AL,2038,6.0,154762689.45833334,83016778.99027202,71871831.36999999,147676157.26,284417720.87,6.0,22.323483333333332,11.97459507848456,10.3671,21.301299999999998,41.0253
AL,2041,6.0,141400749.47833332,77334934.43052183,64449804.589999996,134437038.115,265383870.22,6.0,20.396050000000002,11.1549536473712,9.2964,19.39165,38.2796
AL,2044,6.0,101293113.295,54850001.01698772,46564347.980000004,96418619.50999999,188083561.93,6.0,14.610833333333334,7.9117213549686305,6.7166,13.90775,27.1297
AL,2047,6.0,64365859.78666667,35397597.93301175,29253844.44,61228248.895,121522131.92999999,6.0,9.284366666666667,5.1058067130147675,4.2198,8.8318,17.5287
