RPSCat,st,t,Value
RPS_All,LA,2026,851015.179322
RPS_All,PA,2026,1647781.137596
RPS_All,MD,2026,845944.14835
RPS_All,DE,2026,604961.666913
RPS_All,NJ,2026,1522213.644103
RPS_All,NY,2026,7450822.454916
RPS_All,NY,2029,9943183.68673
RPS_All,VT,2026,1054369.461297
RPS_All,VT,2029,1039072.609559
RPS_All,NH,2026,342811.600474
RPS_All,NH,2029,334472.637994
RPS_All,MA,2026,1335493.349604
RPS_All,CT,2026,390091.069547
RPS_All,CT,2029,481753.415204
RPS_All,RI,2026,242659.581285
RPS_All,RI,2029,461516.315388
RPS_All,ME,2026,772914.078924
CES,VT,2041,1821536.282321
CES,VT,2044,1891611.468601
CES,VT,2047,2091647.088007
CES,VT,2050,2177582.005135
