i,v,r,t,Value
battery_4,new1,p31,2038,525646.935033
battery_4,new1,p31,2041,249820.01566
battery_4,new1,p31,2044,246413.735652
battery_4,new1,p31,2047,240447.225233
battery_4,new1,p31,2050,239606.289955
battery_4,new1,p32,2038,117443.045389
battery_4,new1,p32,2041,110851.081094
battery_4,new1,p32,2044,109433.157499
battery_4,new1,p32,2047,109958.521508
battery_4,new1,p32,2050,118399.310475
battery_4,new1,p33,2023,6021.636897
battery_4,new1,p33,2026,5505.197993
battery_4,new1,p33,2029,7223.065198
battery_4,new1,p33,2032,7173.376675
battery_4,new1,p33,2035,7338.824986
battery_4,new1,p34,2023,284682.129627
battery_4,new1,p34,2026,252520.004839
battery_4,new1,p34,2029,332233.450074
battery_4,new1,p34,2032,335566.622349
battery_4,new1,p34,2035,331235.774282
battery_4,new1,p34,2038,647548.122868
battery_4,new1,p34,2041,1602088.356663
battery_4,new1,p34,2044,1877923.382995
battery_4,new1,p34,2047,1887125.974827
battery_4,new1,p34,2050,2206523.083479
battery_4,new1,p35,2038,0.0
battery_4,new1,p37,2029,275155.408416
battery_4,new1,p37,2032,300134.570313
battery_4,new1,p37,2035,384907.134763
battery_4,new1,p37,2038,410339.433253
battery_4,new1,p37,2041,469279.860522
battery_4,new1,p38,2038,-0.0
battery_4,new1,p39,2032,173930.177921
battery_4,new1,p39,2035,532987.495187
battery_4,new1,p39,2038,566812.11555
battery_4,new1,p39,2041,512781.767997
battery_4,new1,p39,2044,519699.045052
battery_4,new1,p39,2047,572652.333814
battery_4,new1,p39,2050,654691.649488
battery_4,new1,p40,2023,1515.89479
battery_4,new1,p40,2026,1577.517296
battery_4,new1,p40,2029,1763.643003
battery_4,new1,p40,2032,1749.70083
battery_4,new1,p40,2035,1681.449167
battery_4,new1,p40,2038,0.0
battery_4,new1,p41,2050,104275.536125
battery_4,new1,p43,2023,1032.348803
battery_4,new1,p43,2026,1016.842129
battery_4,new1,p43,2029,300643.775754
battery_4,new1,p43,2032,540217.801091
battery_4,new1,p43,2035,726382.829242
battery_4,new1,p43,2038,821537.437656
battery_4,new1,p43,2041,904181.009192
battery_4,new1,p43,2044,354244.120978
battery_4,new1,p44,2044,1144100.170206
battery_4,new1,p44,2047,1120171.946929
battery_4,new1,p44,2050,1172093.623215
battery_4,new1,p45,2029,117602.69488
battery_4,new1,p45,2032,104169.160835
battery_4,new1,p45,2035,128933.07619
battery_4,new1,p45,2038,139515.425984
battery_4,new1,p45,2041,143479.475924
battery_4,new1,p45,2044,418829.97859
battery_4,new1,p45,2047,392897.701051
battery_4,new1,p45,2050,401289.532546
battery_4,new1,p46,2050,548035.265712
battery_4,new1,p47,2032,528660.466271
battery_4,new1,p47,2035,915949.284335
battery_4,new1,p47,2038,944825.4096
battery_4,new1,p47,2041,1144351.738463
battery_4,new1,p47,2044,1684488.651399
battery_4,new1,p47,2047,1736326.615851
battery_4,new1,p47,2050,1486280.56266
battery_4,new1,p48,2026,389477.254199
battery_4,new1,p48,2029,356986.969333
battery_4,new1,p48,2032,845608.72884
battery_4,new1,p48,2035,1655507.544868
battery_4,new1,p48,2038,1958074.528281
battery_4,new1,p48,2041,1882156.393829
battery_4,new1,p48,2044,1556275.76306
battery_4,new1,p48,2047,1995932.213793
battery_4,new1,p48,2050,3384988.976492
battery_4,new1,p49,2035,211940.880698
battery_4,new1,p49,2038,220381.81886
battery_4,new1,p49,2041,218183.458161
battery_4,new1,p49,2044,183410.015729
battery_4,new1,p49,2047,193887.955333
battery_4,new1,p51,2038,-0.0
battery_4,new1,p52,2035,1660067.161593
