i,r,t,Value
battery_4,p39,2050,-40085.523014
battery_4,p40,2023,-261.319188
battery_4,p40,2026,-263.754292
battery_4,p40,2029,-293.664007
battery_4,p40,2032,-283.81184
battery_4,p40,2035,-325.966594
battery_4,p43,2023,-160.008577
battery_4,p43,2026,-175.369572
battery_4,p43,2029,-137.30009
battery_4,p43,2032,-154.82003
battery_4,p43,2035,-195358.534773
battery_4,p43,2038,-199481.906015
battery_4,p43,2041,-172809.659535
battery_4,p43,2044,-181238.124617
battery_4,p43,2047,-176148.857869
battery_4,p44,2038,-249616.15106
battery_4,p44,2041,-310010.41915
battery_4,p44,2044,-327535.000375
battery_4,p44,2047,-337370.737037
battery_4,p44,2050,-200489.178396
battery_4,p45,2038,-444874.522766
battery_4,p45,2041,-399180.707187
battery_4,p45,2044,-387271.288476
battery_4,p45,2047,-359665.735669
battery_4,p45,2050,-403052.765401
battery_4,p46,2035,-16552.429582
battery_4,p46,2038,-16998.430374
battery_4,p46,2041,-15420.696546
battery_4,p46,2044,-15046.907046
battery_4,p46,2047,-14754.120696
battery_4,p47,2032,-45863.632591
battery_4,p47,2035,-168393.725696
battery_4,p47,2038,-164358.455167
battery_4,p47,2041,-164388.518494
battery_4,p47,2044,-221469.098368
battery_4,p47,2047,-253625.585567
battery_4,p47,2050,-221737.284265
battery_4,p48,2026,-65056.967273
battery_4,p48,2029,-62153.350976
battery_4,p48,2032,-237402.953171
battery_4,p48,2035,-363143.528372
battery_4,p48,2038,-381288.953845
battery_4,p48,2041,-320793.556777
battery_4,p48,2044,-398999.532073
battery_4,p48,2047,-423655.912317
battery_4,p48,2050,-371886.383995
battery_4,p49,2035,-54052.877157
battery_4,p49,2038,-57503.615953
battery_4,p49,2041,-61072.846817
battery_4,p49,2044,-83826.182174
battery_4,p49,2047,-122938.616984
battery_4,p49,2050,-131065.875935
battery_4,p50,2044,0.0
battery_4,p52,2035,-155576.891036
battery_4,p52,2038,-161458.057014
battery_4,p52,2041,-170824.339654
battery_4,p52,2044,-161053.817819
battery_4,p52,2047,-156612.424638
battery_4,p52,2050,-221860.724725
battery_4,p53,2035,-60310.263974
battery_4,p53,2038,-62502.432785
battery_4,p53,2041,-59343.017341
battery_4,p53,2044,-57204.221442
battery_4,p53,2047,-98130.363508
battery_4,p53,2050,-125273.28993
battery_4,p54,2035,-40462.844764
battery_4,p54,2038,-40074.701225
battery_4,p54,2041,-38251.615912
battery_4,p54,2044,-106066.123993
battery_4,p54,2047,-102676.125237
battery_4,p54,2050,-71424.868177
battery_4,p56,2035,-18653.405852
battery_4,p56,2038,-19900.318548
battery_4,p56,2041,-20095.957826
battery_4,p56,2044,-17877.664964
battery_4,p56,2047,-18415.2087
battery_4,p56,2050,0.0
battery_4,p57,2035,-48195.595171
battery_4,p57,2038,-48683.882108
battery_4,p57,2041,-48595.502661
battery_4,p57,2044,-46631.76907
battery_4,p57,2047,-47470.244733
battery_4,p58,2029,-19393.226122
battery_4,p58,2032,-25516.3521
battery_4,p58,2035,-27660.886691
battery_4,p58,2038,-253017.829027
battery_4,p58,2041,-233190.501103
battery_4,p58,2044,-431936.046332
battery_4,p58,2047,-390361.132587
battery_4,p58,2050,-407531.606971
battery_4,p59,2035,-25454.216196
battery_4,p59,2038,-138350.068315
battery_4,p59,2041,-143891.714238
battery_4,p59,2044,-206871.500505
battery_4,p59,2047,-203252.197049
battery_4,p59,2050,-167881.589092
battery_4,p60,2023,-9308.110686
battery_4,p60,2026,-54071.980956
battery_4,p60,2029,-63708.426468
battery_4,p60,2032,-60825.396968
battery_4,p60,2035,-56353.836035
battery_4,p60,2038,-50204.230275
battery_4,p60,2044,-565375.706337
battery_4,p60,2047,-642643.722455
battery_4,p60,2050,-630472.537752
battery_4,p61,2023,-59094.077355
battery_4,p61,2026,-181886.878406
battery_4,p61,2029,-231446.30158
battery_4,p61,2032,-235318.611908
battery_4,p61,2035,-222699.282458
battery_4,p61,2038,-141442.059348
battery_4,p62,2023,-116189.027947
battery_4,p62,2026,-132276.169109
battery_4,p62,2029,-175912.748649
battery_4,p62,2032,-162265.390383
battery_4,p62,2035,-140657.944909
battery_4,p63,2023,-140211.189788
battery_4,p63,2026,-207571.415481
battery_4,p63,2029,-239908.958797
battery_4,p63,2032,-258787.844635
battery_4,p63,2035,-253266.755003
battery_4,p63,2038,-662091.097689
battery_4,p63,2041,-1188745.122489
battery_4,p63,2044,-1888440.675088
battery_4,p63,2047,-2018660.755751
battery_4,p63,2050,-2027841.31353
battery_4,p64,2023,-70644.282863
battery_4,p64,2026,-102423.189924
battery_4,p64,2029,-129348.034593
battery_4,p64,2032,-139388.078759
battery_4,p64,2035,-145140.037322
battery_4,p64,2038,-42166.375996
battery_4,p64,2047,-79887.486032
battery_4,p64,2050,-81761.444562
battery_4,p65,2023,-70118.462374
battery_4,p65,2026,-99196.207757
battery_4,p65,2029,-77773.252384
battery_4,p65,2032,-120374.072625
battery_4,p65,2035,-130326.406991
battery_4,p65,2038,-36628.093987
battery_4,p65,2041,-191525.808715
battery_4,p65,2044,-398295.702817
battery_4,p65,2047,-561069.764667
battery_4,p65,2050,-613802.420217
battery_4,p66,2029,-31027.151111
battery_4,p66,2032,-45299.332404
battery_4,p66,2035,-46911.624623
battery_4,p66,2038,-45469.417173
battery_4,p66,2041,-42505.638179
battery_4,p66,2044,-105845.468177
battery_4,p66,2047,-264268.207722
battery_4,p66,2050,-443034.353557
battery_4,p67,2023,-43673.147077
battery_4,p67,2026,-64079.723261
battery_4,p67,2029,-300736.339192
battery_4,p67,2032,-795571.518908
battery_4,p67,2035,-1194416.542795
battery_4,p67,2038,-1059103.033289
battery_4,p67,2041,-1125666.235244
battery_4,p67,2044,-111000.618369
battery_4,p67,2047,-230453.043481
battery_4,p67,2050,-236659.090961
battery_4,p68,2029,-28821.856174
battery_4,p68,2032,-23874.160299
battery_4,p68,2035,-27194.502026
battery_4,p68,2038,-27747.478947
battery_4,p68,2041,-24687.158524
battery_4,p69,2032,-194627.392187
battery_4,p69,2035,-238165.52982
battery_4,p69,2038,-313283.808052
battery_4,p69,2041,-270728.685561
battery_4,p69,2044,-287249.449544
battery_4,p69,2047,-103084.681777
battery_4,p69,2050,-73766.419429
battery_4,p70,2023,-1142.046707
battery_4,p70,2026,-1292.493529
battery_4,p70,2029,-1399.820325
battery_4,p70,2032,-1289.856705
battery_4,p70,2035,-1429.379926
battery_4,p70,2047,0.0
battery_4,p71,2038,-140645.940126
battery_4,p71,2041,-138250.864424
battery_4,p71,2044,-142887.943712
battery_4,p71,2047,-145570.002831
battery_4,p71,2050,-139567.094796
battery_4,p72,2029,-31616.301608
battery_4,p72,2032,-32063.045934
battery_4,p72,2035,-34526.44169
battery_4,p72,2038,-33167.824488
battery_4,p72,2041,-30699.079361
battery_4,p72,2044,-103856.099369
battery_4,p72,2047,-105774.344508
battery_4,p72,2050,-106670.523062
battery_4,p74,2026,-117110.933077
battery_4,p74,2029,-86943.893288
battery_4,p74,2032,-116623.65547
battery_4,p74,2035,-247386.678886
battery_4,p74,2038,-240230.299189
battery_4,p74,2044,-67482.519506
battery_4,p74,2047,-65903.396934
battery_4,p74,2050,-66804.48102
battery_4,p76,2023,-1107.063836
battery_4,p76,2026,-1141.061824
battery_4,p76,2029,-792.740201
battery_4,p76,2032,-988.483406
battery_4,p76,2035,-1290.845889
battery_4,p77,2023,-67.915924
battery_4,p77,2026,-69.78629
battery_4,p77,2029,-49.73368
battery_4,p77,2032,-62.333453
battery_4,p77,2035,-76.880508
battery_4,p78,2023,-67.915924
battery_4,p78,2026,-66.536015
battery_4,p78,2029,-48.776267
battery_4,p78,2032,-58.464296
battery_4,p78,2035,-77.589692
battery_4,p79,2029,-13398.396339
