eall,r,t,dr,Value
CH4,p101,2050,1.5,43575106643.09411
CH4,p102,2020,2.5,5944438005.40281
CH4,p102,2020,2.0,7316231391.264997
CH4,p102,2020,1.5,10517082624.943432
CH4,p102,2023,2.5,6591548305.324967
CH4,p102,2023,2.0,8194897893.106716
CH4,p102,2023,1.5,11446134557.219707
CH4,p102,2026,2.5,5952134927.910482
CH4,p102,2026,2.0,7458096777.140845
CH4,p102,2026,1.5,10183170599.557692
CH4,p102,2029,2.5,6154085830.013568
CH4,p102,2029,2.0,7759499524.799717
CH4,p102,2029,1.5,10401742897.468586
CH4,p102,2032,2.5,7033548690.964219
CH4,p102,2032,2.0,8809007583.828974
CH4,p102,2032,1.5,11608769684.115702
CH4,p102,2035,2.5,8398858717.480138
CH4,p102,2035,2.0,10407281454.268866
CH4,p102,2035,1.5,13511207502.033264
CH4,p102,2038,2.5,10004591509.089613
CH4,p102,2038,2.0,12289104530.850231
CH4,p102,2038,1.5,15755262219.038761
CH4,p102,2041,2.5,11414132181.19319
CH4,p102,2041,2.0,13918671976.347092
CH4,p102,2041,1.5,17696010683.79232
CH4,p102,2044,2.5,13378181055.651827
CH4,p102,2044,2.0,16213292272.743605
CH4,p102,2044,1.5,20554556323.91539
CH4,p102,2047,2.5,15086827696.722086
CH4,p102,2047,2.0,18187494738.68644
CH4,p102,2047,1.5,23000470445.616188
CH4,p102,2050,2.5,15871040049.254911
CH4,p102,2050,2.0,19045248059.105896
CH4,p102,2050,1.5,24033289217.443157
CH4,p103,2020,2.5,4936586520.438424
CH4,p103,2020,2.0,6075798794.385754
CH4,p103,2020,1.5,8733960766.92952
CH4,p103,2023,2.5,4753666471.274239
CH4,p103,2023,2.0,5909963721.043648
CH4,p103,2023,1.5,8254677588.631617
CH4,p103,2026,2.5,4634931827.585017
CH4,p103,2026,2.0,5807625422.516167
CH4,p103,2026,1.5,7929642403.820149
CH4,p103,2029,2.5,4231733999.964828
CH4,p103,2029,2.0,5335664608.651305
CH4,p103,2029,1.5,7152550402.114465
CH4,p103,2032,2.5,6113975900.983296
CH4,p103,2032,2.0,7657309623.5616045
CH4,p103,2032,1.5,10091028186.088936
CH4,p103,2035,2.5,7746062219.263346
CH4,p103,2035,2.0,9598381445.608929
CH4,p103,2035,1.5,12461056613.597555
CH4,p103,2038,2.5,10400564506.298916
CH4,p103,2038,2.0,12775496558.918352
CH4,p103,2038,1.5,16378841742.203018
CH4,p103,2041,2.5,12686991025.815836
CH4,p103,2041,2.0,15470827186.15672
CH4,p103,2041,1.5,19669399755.85117
CH4,p103,2044,2.5,15382959835.269556
CH4,p103,2044,2.0,18642924833.472378
CH4,p103,2044,1.5,23634746236.970444
CH4,p103,2047,2.5,17987902512.245243
CH4,p103,2047,2.0,21684802721.817123
CH4,p103,2047,1.5,27423274688.913765
CH4,p103,2050,2.5,22518604967.434784
CH4,p103,2050,2.0,27022325960.921738
CH4,p103,2050,1.5,34099601807.829815
CH4,p104,2020,2.5,548775793.4734247
CH4,p104,2020,2.0,675416361.1980611
CH4,p104,2020,1.5,970911019.2222128
CH4,p104,2023,2.5,759234497.8723061
CH4,p104,2023,2.0,943913159.5169212
CH4,p104,2023,1.5,1318400445.6296127
CH4,p104,2026,2.5,815165021.7468585
CH4,p104,2026,2.0,1021411593.514136
CH4,p104,2026,1.5,1394619675.7596855
CH4,p104,2029,2.5,578377790.5415174
CH4,p104,2029,2.0,729258953.2914784
CH4,p104,2029,1.5,977584200.3174561
CH4,p104,2032,2.5,593806669.6669399
CH4,p104,2032,2.0,743699615.4081091
CH4,p104,2032,1.5,980069260.6153374
CH4,p104,2035,2.5,779837535.6392667
CH4,p104,2035,2.0,966320424.5964826
CH4,p104,2035,1.5,1254521252.9849074
CH4,p104,2038,2.5,967659913.8388624
CH4,p104,2038,2.0,1188621626.4477367
CH4,p104,2038,1.5,1523873880.0612006
CH4,p104,2041,2.5,1169359722.8407032
CH4,p104,2041,2.0,1425945849.0755339
CH4,p104,2041,1.5,1812928203.3969173
CH4,p104,2044,2.5,1339668043.4604042
CH4,p104,2044,2.0,1623571204.9884367
CH4,p104,2044,1.5,2058297921.0782368
CH4,p104,2047,2.5,3645156231.57884
CH4,p104,2047,2.0,4394314107.394123
CH4,p104,2047,1.5,5557186034.032772
CH4,p104,2050,2.5,4121330698.5965223
CH4,p104,2050,2.0,4945596838.315826
CH4,p104,2050,1.5,6240872200.731876
CH4,p105,2020,2.5,2131294631.6554363
CH4,p105,2020,2.0,2623131854.3451524
CH4,p105,2020,1.5,3770752040.6211567
CH4,p105,2023,2.5,1726930951.8825247
CH4,p105,2023,2.0,2146995237.4755714
CH4,p105,2023,1.5,2998792261.039249
CH4,p105,2026,2.5,2344965195.5284643
CH4,p105,2026,2.0,2938269642.5898833
CH4,p105,2026,1.5,4011868165.843879
CH4,p105,2029,2.5,2668357750.341408
CH4,p105,2029,2.0,3364451076.517427
CH4,p105,2029,1.5,4510104675.848792
CH4,p105,2032,2.5,2796815451.1300955
CH4,p105,2032,2.0,3502807700.929925
CH4,p105,2032,1.5,4616103171.768119
CH4,p105,2035,2.5,3081910815.0466237
CH4,p105,2035,2.0,3818889488.2099466
CH4,p105,2035,1.5,4957856528.553264
CH4,p105,2038,2.5,2913848685.561036
CH4,p105,2038,2.0,3579215708.248202
CH4,p105,2038,1.5,4588738087.497694
CH4,p105,2041,2.5,2950707433.3435497
CH4,p105,2041,2.0,3598164819.796631
CH4,p105,2041,1.5,4574657927.234064
CH4,p105,2044,2.5,4202788982.266458
CH4,p105,2044,2.0,5093446250.031535
CH4,p105,2044,1.5,6457265191.296809
CH4,p105,2047,2.5,6952236671.952972
CH4,p105,2047,2.0,8381070589.19484
CH4,p105,2047,1.5,10598962042.824009
CH4,p105,2050,2.5,8163808942.52121
CH4,p105,2050,2.0,9796570731.025452
CH4,p105,2050,1.5,12362339255.817831
CH4,p106,2020,2.5,692872781.4369855
CH4,p106,2020,2.0,852766500.230136
CH4,p106,2020,1.5,1225851844.0808206
CH4,p106,2023,2.5,135904620.87116194
CH4,p106,2023,2.0,168962501.62360677
CH4,p106,2023,1.5,235996537.59384206
CH4,p106,2026,2.5,140106097.63620767
CH4,p106,2026,2.0,175554628.36344096
CH4,p106,2026,1.5,239699588.72700596
CH4,p106,2029,2.5,101067013.09125692
CH4,p106,2029,2.0,127432320.8541935
CH4,p106,2029,1.5,170825223.21402663
CH4,p106,2032,2.5,137490833.45339173
CH4,p106,2032,2.0,172197257.43191782
CH4,p106,2032,1.5,226926618.32113197
CH4,p106,2035,2.5,312753684.5353423
CH4,p106,2035,2.0,387542609.09814155
CH4,p106,2035,1.5,503125492.5133767
CH4,p106,2038,2.5,2833131894.843812
CH4,p106,2038,2.0,3480067524.375076
CH4,p106,2038,1.5,4461625031.250097
CH4,p106,2041,2.5,4135234514.339781
CH4,p106,2041,2.0,5042606116.407143
CH4,p106,2041,1.5,6411100991.65628
CH4,p106,2044,2.5,4637379825.109377
CH4,p106,2044,2.0,5620135814.536529
CH4,p106,2044,1.5,7124980923.346857
CH4,p106,2047,2.5,4999053476.660074
CH4,p106,2047,2.0,6026466307.752789
CH4,p106,2047,1.5,7621256373.926554
CH4,p106,2050,2.5,6151167388.089574
