eall,r,t,dr,Value
CH4,p102,2020,1.5,14404505545.1171
CH4,p102,2023,2.5,9027978337.811281
CH4,p102,2023,2.0,11223973068.630241
CH4,p102,2023,1.5,15676962383.902021
CH4,p102,2026,2.5,8152218978.581321
CH4,p102,2026,2.0,10214828599.668161
CH4,p102,2026,1.5,13947169818.777681
CH4,p102,2029,2.5,7461810804.387039
CH4,p102,2029,2.0,9408370144.661919
CH4,p102,2029,1.5,12612082392.197659
CH4,p102,2032,2.5,7436707340.008
CH4,p102,2032,2.0,9313934435.544
CH4,p102,2032,1.5,12274177163.12
CH4,p102,2035,2.5,8841392831.2157
CH4,p102,2035,2.0,10955638943.028149
CH4,p102,2035,1.5,14223110206.738298
CH4,p102,2038,2.5,10617375918.82266
CH4,p102,2038,2.0,13041816089.26248
CH4,p102,2038,1.5,16720277037.515999
CH4,p102,2041,2.5,11934576754.6302
CH4,p102,2041,2.0,14553314819.4951
CH4,p102,2041,1.5,18502886982.8979
CH4,p102,2044,2.5,14411926382.87464
CH4,p102,2044,2.0,17466109457.39112
CH4,p102,2044,1.5,22142827290.24448
CH4,p102,2047,2.5,16609672316.96998
CH4,p102,2047,2.0,20023316627.51289
CH4,p102,2047,1.5,25322107796.11681
CH4,p102,2050,2.5,18401793969.408497
CH4,p102,2050,2.0,22082152763.290195
CH4,p102,2050,1.5,27865573725.104298
CH4,p103,2020,2.5,6760645252.6366005
CH4,p103,2020,2.0,8320794157.0912
CH4,p103,2020,1.5,11961141600.8186
CH4,p103,2023,2.5,6509292389.612559
CH4,p103,2023,2.0,8092633781.680479
CH4,p103,2023,1.5,11303298271.151539
CH4,p103,2026,2.5,6339116307.27056
CH4,p103,2026,2.0,7942989107.90528
CH4,p103,2026,1.5,10845235128.10144
CH4,p103,2029,2.5,4916829285.62128
CH4,p103,2029,2.0,6199480403.609439
CH4,p103,2029,1.5,8310510368.6316185
CH4,p103,2032,2.5,3389371299.39764
CH4,p103,2032,2.0,4244940753.6145205
CH4,p103,2032,1.5,5594107969.879601
CH4,p103,2035,2.5,1705667062.6909
CH4,p103,2035,2.0,2113543968.98655
CH4,p103,2035,1.5,2743899187.8071003
CH4,p103,2038,2.5,5551515428.145821
CH4,p103,2038,2.0,6819184305.43896
CH4,p103,2038,1.5,8742543981.332
CH4,p103,2041,2.5,9092041454.547401
CH4,p103,2041,2.0,11087057744.9337
CH4,p103,2041,1.5,14095934773.0573
CH4,p103,2044,2.5,11066205448.33492
CH4,p103,2044,2.0,13411361569.83636
CH4,p103,2044,1.5,17002381880.88544
CH4,p103,2047,2.5,14614039573.513039
CH4,p103,2047,2.0,17617538504.26572
CH4,p103,2047,1.5,22279686098.26988
CH4,p103,2050,2.5,17956037088.073
CH4,p103,2050,2.0,21547244505.6876
CH4,p103,2050,1.5,27190570447.6534
CH4,p104,2020,2.5,752097247.0895
CH4,p104,2020,2.0,925658150.2639999
CH4,p104,2020,1.5,1330633591.0045
CH4,p104,2023,2.5,1039584527.73452
CH4,p104,2023,2.0,1292456439.88616
CH4,p104,2023,1.5,1805224483.97143
CH4,p104,2026,2.5,1107772621.45838
CH4,p104,2026,2.0,1388052441.34544
CH4,p104,2026,1.5,1895225448.76012
CH4,p104,2029,2.5,478462220.87328
CH4,p104,2029,2.0,603278452.40544
CH4,p104,2029,1.5,808705166.80212
CH4,p104,2032,2.5,379884583.10182
CH4,p104,2032,2.0,475777778.83625996
CH4,p104,2032,1.5,626993972.1098
CH4,p104,2035,2.5,205134058.4541
CH4,p104,2035,2.0,254187855.04095003
CH4,p104,2035,1.5,329998267.9479
CH4,p104,2038,2.5,224502851.32868
CH4,p104,2038,2.0,275767281.94704
CH4,p104,2038,1.5,353547797.36800003
CH4,p104,2041,2.5,245369338.93808
CH4,p104,2041,2.0,299209373.74104
CH4,p104,2041,1.5,380410737.70616
CH4,p104,2044,2.5,265479857.21677998
CH4,p104,2044,2.0,321740489.20974
CH4,p104,2044,1.5,407889581.94895995
CH4,p104,2047,2.5,287900268.66122
CH4,p104,2047,2.0,347069955.77871
CH4,p104,2047,1.5,438915440.25958997
CH4,p104,2050,2.5,309778786.07199997
CH4,p104,2050,2.0,371734543.2864
CH4,p104,2050,1.5,469093590.3376
CH4,p105,2020,2.5,2915442839.8667
CH4,p105,2020,2.0,3588237341.3744
CH4,p105,2020,1.5,5158091178.2257
CH4,p105,2023,2.5,2364971318.5043197
CH4,p105,2023,2.0,2940234612.19456
CH4,p105,2023,1.5,4106740735.5108795
CH4,p105,2026,2.5,3285498564.5152
CH4,p105,2026,2.0,4116769285.6576
CH4,p105,2026,1.5,5620973447.7248
CH4,p105,2029,2.5,2550203264.1608
CH4,p105,2029,2.0,3215473680.8984003
CH4,p105,2029,1.5,4310397908.445701
CH4,p105,2032,2.5,1557360977.31138
CH4,p105,2032,2.0,1950481224.01134
CH4,p105,2032,1.5,2570401613.0382
CH4,p105,2035,2.5,1058112640.5197
CH4,p105,2035,2.0,1311139576.29615
CH4,p105,2035,1.5,1702181204.3143
CH4,p105,2038,2.5,1124382477.4230797
CH4,p105,2038,2.0,1381131232.1102397
CH4,p105,2038,1.5,1770681066.8079998
CH4,p105,2041,2.5,1190520543.8081799
CH4,p105,2041,2.0,1451749871.76609
CH4,p105,2041,1.5,1845735087.70261
CH4,p105,2044,2.5,1248143474.2639399
CH4,p105,2044,2.0,1512650700.5980198
CH4,p105,2044,1.5,1917677390.9220798
CH4,p105,2047,2.5,2195628833.3362203
CH4,p105,2047,2.0,2646877703.99121
CH4,p105,2047,1.5,3347323712.17209
CH4,p105,2050,2.5,2138194428.51
CH4,p105,2050,2.0,2565833314.212
CH4,p105,2050,1.5,3237837277.458
CH4,p106,2020,2.5,948340293.7281001
CH4,p106,2020,2.0,1167188053.8192
CH4,p106,2020,1.5,1677832827.3651001
CH4,p106,2023,2.5,186139030.75648
CH4,p106,2023,2.0,231416092.29184002
CH4,p106,2023,1.5,323227911.51632
CH4,p106,2026,2.5,187983777.14172
CH4,p106,2026,2.0,235545937.62335998
CH4,p106,2026,1.5,321610799.44728
CH4,p106,2029,2.5,138221216.90904
CH4,p106,2029,2.0,174278925.66792
CH4,p106,2029,1.5,233623904.66691
CH4,p106,2032,2.5,134705996.90398
CH4,p106,2032,2.0,168709452.43314
CH4,p106,2032,1.5,222330286.15219998
CH4,p106,2035,2.5,143087335.9623
CH4,p106,2035,2.0,177303872.82285
CH4,p106,2035,1.5,230183975.2437
CH4,p106,2038,2.5,299412195.1546
CH4,p106,2038,2.0,367781909.0088
CH4,p106,2038,1.5,471515267.96000004
CH4,p106,2041,2.5,890512198.51714
CH4,p106,2041,2.0,1085912357.18457
CH4,p106,2041,1.5,1380614235.8305302
CH4,p106,2044,2.5,1154173252.4984999
CH4,p106,2044,2.0,1398766259.6505
CH4,p106,2044,1.5,1773299301.852
CH4,p106,2047,2.5,1378197285.4263
CH4,p106,2047,2.0,1661446420.77465
CH4,p106,2047,1.5,2101116720.4198499
CH4,p106,2050,2.5,2042585048.8190002
CH4,p106,2050,2.0,2451102058.5828004
CH4,p106,2050,1.5,3093057359.6402
CH4,p107,2020,2.5,2673809560.0657997
CH4,p107,2020,2.0,3290842535.4655995
CH4,p107,2020,1.5,4730586144.731799
CH4,p107,2023,2.5,4787747337.12004
CH4,p107,2023,2.0,5952334527.23032
CH4,p107,2023,1.5,8313858551.62061
CH4,p107,2026,2.5,4614222187.22822
CH4,p107,2026,2.0,5781675993.63536
CH4,p107,2026,1.5,7894211452.84828
CH4,p107,2029,2.5,3326686555.6907997
CH4,p107,2029,2.0,4194517831.0884
CH4,p107,2029,1.5,5622823471.84695
CH4,p107,2032,2.5,1531298590.8093998
CH4,p107,2032,2.0,1917839982.6641998
CH4,p107,2032,1.5,2527386023.666
CH4,p107,2035,2.5,1218585812.7846
CH4,p107,2035,2.0,1509986768.0156999
CH4,p107,2035,1.5,1960333698.8274
CH4,p107,2038,2.5,1151812598.84162
CH4,p107,2038,2.0,1414824924.56136
CH4,p107,2038,1.5,1813878108.412
CH4,p107,2041,2.5,1183548173.0397599
CH4,p107,2041,2.0,1443247592.30388
CH4,p107,2041,1.5,1834925404.9645197
CH4,p107,2044,2.5,1157608660.3931599
CH4,p107,2044,2.0,1402929701.00628
CH4,p107,2044,1.5,1778577544.4451199
CH4,p107,2047,2.5,1335377197.7165
CH4,p107,2047,2.0,1609825885.59075
CH4,p107,2047,1.5,2035835789.15675
CH4,p107,2050,2.5,1366875318.032
CH4,p107,2050,2.0,1640250381.6383998
CH4,p107,2050,1.5,2069839767.3056
CH4,p108,2020,2.5,1196713785.3359
CH4,p108,2020,2.0,1472878505.0288
CH4,p108,2020,1.5,2117262850.9789002
CH4,p108,2023,2.5,929466047.32808
CH4,p108,2023,2.0,1155552383.16464
CH4,p108,2023,1.5,1614005230.83322
CH4,p108,2026,2.5,1243671998.54418
CH4,p108,2026,2.0,1558335998.17584
CH4,p108,2026,1.5,2127727997.5093198
CH4,p108,2029,2.5,781368587.6295199
CH4,p108,2029,2.0,985203871.3589599
CH4,p108,2029,1.5,1320682775.83033
CH4,p108,2032,2.5,459720243.04973996
CH4,p108,2032,2.0,575766129.64482
CH4,p108,2032,1.5,758761566.1985999
CH4,p108,2035,2.5,379699436.73059994
CH4,p108,2035,2.0,470497128.1226999
CH4,p108,2035,1.5,610820833.0013999
