RPSCat,st,t,Value
RPS_All,PA,2026,1596244.892256
RPS_All,MD,2026,897517.118531
RPS_All,DE,2026,604924.942072
RPS_All,NJ,2026,1522213.644103
RPS_All,NY,2026,7450822.454916
RPS_All,NY,2029,9943182.09365
RPS_All,VT,2026,999476.118171
RPS_All,VT,2029,1039072.609559
RPS_All,NH,2026,342811.600474
RPS_All,NH,2029,334472.637994
RPS_All,MA,2026,1335493.349604
RPS_All,CT,2026,390607.208366
RPS_All,CT,2029,481753.415204
RPS_All,RI,2026,242659.581285
RPS_All,RI,2029,461516.315388
RPS_All,ME,2026,767964.575978
CES,VT,2041,2020685.195411
RPS_Wind,MD,2026,262720.701403
RPS_Wind,MD,2029,408848.268443
