r,t,Value
p20,2032,2.744767
p20,2035,2.985013
p20,2038,3.26353
p20,2041,3.100471
p20,2044,2.694399
p20,2047,2.4114
p20,2050,2.322129
p21,2010,4.426125
p21,2015,2.299015
p21,2020,1.639657
p21,2023,3.328906
p21,2026,2.591111
p21,2029,2.517937
p21,2032,2.744767
p21,2035,2.985013
p21,2038,3.26353
p21,2041,3.100471
p21,2044,2.694399
p21,2047,2.4114
p21,2050,2.322129
p22,2010,4.426125
p22,2015,2.299015
p22,2020,1.639657
p22,2023,3.328906
p22,2026,2.591111
p22,2029,2.517937
p22,2032,2.744767
p22,2035,2.985013
p22,2038,3.26353
p22,2041,3.100471
p22,2044,2.694399
p22,2047,2.4114
p22,2050,2.322129
p23,2010,4.426125
p23,2015,2.299015
p23,2020,1.639657
p23,2023,3.328906
p23,2026,2.591111
p23,2029,2.517937
p23,2032,2.744767
p23,2035,2.985013
p23,2038,3.26353
p23,2041,3.100471
p23,2044,2.694399
p23,2047,2.4114
p23,2050,2.322129
p24,2010,4.426125
p24,2015,2.299015
p24,2020,1.639657
p24,2023,3.328906
p24,2026,2.591111
p24,2029,2.517937
p24,2032,2.744767
p24,2035,2.985013
p24,2038,3.26353
p24,2041,3.100471
p24,2044,2.694399
p24,2047,2.4114
p24,2050,2.322129
p25,2010,4.426125
p25,2015,2.299015
p25,2020,1.639657
p25,2023,3.328906
p25,2026,2.591111
p25,2029,2.517937
p25,2032,2.744767
p25,2035,2.985013
p25,2038,3.26353
p25,2041,3.100471
p25,2044,2.694399
p25,2047,2.4114
p25,2050,2.322129
p26,2010,4.426125
p26,2015,2.299015
p26,2020,1.639657
p26,2023,3.328906
p26,2026,2.591111
p26,2029,2.517937
p26,2032,2.744767
p26,2035,2.985013
p26,2038,3.26353
p26,2041,3.100471
p26,2044,2.694399
p26,2047,2.4114
p26,2050,2.322129
p27,2010,4.344266
p27,2015,2.332503
p27,2020,1.74291
p27,2023,3.296814
p27,2026,2.568321
p27,2029,2.513751
p27,2032,2.702442
p27,2035,2.927805
p27,2038,3.211438
p27,2041,3.030706
p27,2044,2.614401
p27,2047,2.307216
p27,2050,2.209574
p28,2010,4.387076
p28,2015,2.31499
p28,2020,1.688911
p28,2023,3.313597
p28,2026,2.580239
p28,2029,2.51594
p28,2032,2.724577
p28,2035,2.957723
p28,2038,3.238681
p28,2041,3.067191
p28,2044,2.656238
p28,2047,2.361702
p28,2050,2.268438
p29,2010,4.426125
p29,2015,2.299015
p29,2020,1.639657
p29,2023,3.328906
p29,2026,2.591111
p29,2029,2.517937
p29,2032,2.744767
p29,2035,2.985013
p29,2038,3.26353
p29,2041,3.100471
p29,2044,2.694399
p29,2047,2.4114
p29,2050,2.322129
p30,2010,4.370239
p30,2015,2.321878
p30,2020,1.710149
p30,2023,3.306996
p30,2026,2.575552
p30,2029,2.515079
p30,2032,2.715871
p30,2035,2.945956
p30,2038,3.227966
p30,2041,3.052841
p30,2044,2.639784
p30,2047,2.340272
p30,2050,2.245286
p31,2010,4.426125
p31,2015,2.299015
p31,2020,1.639657
p31,2023,3.328906
p31,2026,2.591111
p31,2029,2.517937
p31,2032,2.744767
p31,2035,2.985013
p31,2038,3.26353
p31,2041,3.100471
p31,2044,2.694399
p31,2047,2.4114
p31,2050,2.322129
p32,2010,4.426125
p32,2015,2.299015
p32,2020,1.639657
p32,2023,3.328906
p32,2026,2.591111
p32,2029,2.517937
p32,2032,2.744767
p32,2035,2.985013
p32,2038,3.26353
p32,2041,3.100471
p32,2044,2.694399
p32,2047,2.4114
p32,2050,2.322129
p33,2010,4.426125
p33,2015,2.299015
p33,2020,1.639657
p33,2023,3.328906
p33,2026,2.591111
p33,2029,2.517937
p33,2032,2.744767
p33,2035,2.985013
p33,2038,3.26353
p33,2041,3.100471
p33,2044,2.694399
p33,2047,2.4114
p33,2050,2.322129
p34,2010,4.426125
p34,2015,2.299015
p34,2020,1.639657
p34,2023,3.328906
p34,2026,2.591111
p34,2029,2.517937
p34,2032,2.744767
p34,2035,2.985013
p34,2038,3.26353
p34,2041,3.100471
p34,2044,2.694399
p34,2047,2.4114
p34,2050,2.322129
p35,2010,4.744675
p35,2015,2.556295
p35,2020,1.53664
p35,2023,3.227419
p35,2026,2.396059
p35,2029,2.264517
p35,2032,2.415041
p35,2035,2.541443
p35,2038,2.780501
p35,2041,2.646106
p35,2044,2.373083
p35,2047,2.170391
p35,2050,2.059989
p36,2010,4.744675
p36,2015,2.556295
p36,2020,1.53664
p36,2023,3.227419
p36,2026,2.396059
p36,2029,2.264517
p36,2032,2.415041
p36,2035,2.541443
p36,2038,2.780501
p36,2041,2.646106
p36,2044,2.373083
p36,2047,2.170391
p36,2050,2.059989
p37,2010,4.744675
p37,2015,2.556295
p37,2020,1.53664
p37,2023,3.227419
p37,2026,2.396059
p37,2029,2.264517
p37,2032,2.415041
p37,2035,2.541443
p37,2038,2.780501
p37,2041,2.646106
p37,2044,2.373083
p37,2047,2.170391
p37,2050,2.059989
p38,2010,4.744675
p38,2015,2.556295
p38,2020,1.53664
p38,2023,3.227419
p38,2026,2.396059
p38,2029,2.264517
p38,2032,2.415041
p38,2035,2.541443
p38,2038,2.780501
p38,2041,2.646106
p38,2044,2.373083
p38,2047,2.170391
p38,2050,2.059989
p39,2010,4.744675
p39,2015,2.556295
p39,2020,1.53664
p39,2023,3.227419
p39,2026,2.396059
p39,2029,2.264517
p39,2032,2.415041
p39,2035,2.541443
p39,2038,2.780501
p39,2041,2.646106
p39,2044,2.373083
p39,2047,2.170391
p39,2050,2.059989
p40,2010,4.744675
p40,2015,2.556295
p40,2020,1.53664
p40,2023,3.227419
p40,2026,2.396059
p40,2029,2.264517
p40,2032,2.415041
p40,2035,2.541443
p40,2038,2.780501
p40,2041,2.646106
p40,2044,2.373083
p40,2047,2.170391
p40,2050,2.059989
p41,2010,4.744675
p41,2015,2.556295
p41,2020,1.53664
p41,2023,3.227419
p41,2026,2.396059
p41,2029,2.264517
p41,2032,2.415041
p41,2035,2.541443
p41,2038,2.780501
p41,2041,2.646106
p41,2044,2.373083
p41,2047,2.170391
p41,2050,2.059989
p42,2010,4.637268
p42,2015,2.42342
p42,2020,1.456361
p42,2023,3.179251
p42,2026,2.365332
p42,2029,2.22853
p42,2032,2.356631
p42,2035,2.450368
p42,2038,2.695239
p42,2041,2.542297
p42,2044,2.271212
p42,2047,2.072395
p42,2050,1.953689
p43,2010,4.64714
p43,2015,2.435632
p43,2020,1.463739
p43,2023,3.183678
p43,2026,2.368156
p43,2029,2.231837
p43,2032,2.362
p43,2035,2.458739
p43,2038,2.703076
p43,2041,2.551838
p43,2044,2.280575
p43,2047,2.081402
p43,2050,1.963459
p44,2010,4.653458
p44,2015,2.443449
p44,2020,1.468462
p44,2023,3.186512
p44,2026,2.369964
p44,2029,2.233954
p44,2032,2.365435
p44,2035,2.464096
p44,2038,2.708091
p44,2041,2.557945
p44,2044,2.286568
p44,2047,2.087167
p44,2050,1.969712
p45,2010,4.683864
p45,2015,2.481064
p45,2020,1.491188
p45,2023,3.200147
p45,2026,2.378662
p45,2029,2.244142
p45,2032,2.381971
p45,2035,2.489878
p45,2038,2.732228
p45,2041,2.587332
p45,2044,2.315406
p45,2047,2.114908
p45,2050,1.999804
p46,2010,4.454438
p46,2015,2.240488
p46,2020,1.34478
p46,2023,3.081101
p46,2026,2.360987
p46,2029,2.249182
p46,2032,2.330566
p46,2035,2.34258
p46,2038,2.639016
p46,2041,2.404933
p46,2044,2.044376
p46,2047,1.842657
p46,2050,1.701704
p47,2010,4.057705
p47,2015,2.057795
p47,2020,1.191659
p47,2023,3.040122
p47,2026,2.131507
p47,2029,2.131069
p47,2032,2.405746
p47,2035,2.575968
p47,2038,2.825964
p47,2041,2.634425
p47,2044,2.347391
p47,2047,2.185955
p47,2050,2.044973
p48,2010,4.195099
p48,2015,2.151223
p48,2020,1.249059
p48,2023,3.06292
p48,2026,2.170791
p48,2029,2.146539
p48,2032,2.397197
p48,2035,2.556631
p48,2038,2.803777
p48,2041,2.618141
p48,2044,2.333754
p48,2047,2.164786
p48,2050,2.028283
p49,2010,4.331119
p49,2015,2.243717
p49,2020,1.305885
p49,2023,3.085489
p49,2026,2.209683
p49,2029,2.161853
p49,2032,2.388733
p49,2035,2.537487
p49,2038,2.781813
p49,2041,2.60202
p49,2044,2.320252
p49,2047,2.143829
p49,2050,2.011759
p50,2010,4.279597
p50,2015,2.208681
p50,2020,1.28436
p50,2023,3.07694
p50,2026,2.194951
p50,2029,2.156052
p50,2032,2.391939
p50,2035,2.544738
p50,2038,2.790133
p50,2041,2.608127
p50,2044,2.325367
p50,2047,2.151768
p50,2050,2.018018
p51,2010,4.379894
p51,2015,2.276884
p51,2020,1.326262
p51,2023,3.093582
p51,2026,2.223629
p51,2029,2.167345
p51,2032,2.385698
p51,2035,2.530622
p51,2038,2.773936
p51,2041,2.596239
p51,2044,2.315411
p51,2047,2.136314
p51,2050,2.005833
p52,2010,4.618273
p52,2015,2.470341
p52,2020,1.483831
p52,2023,3.206445
p52,2026,2.359918
p52,2029,2.250285
p52,2032,2.422906
p52,2035,2.559233
p52,2038,2.800913
p52,2041,2.661087
p52,2044,2.38563
p52,2047,2.189866
p52,2050,2.075345
p53,2010,4.559193
p53,2015,2.430167
p53,2020,1.459149
p53,2023,3.196642
p53,2026,2.343025
p53,2029,2.243633
p53,2032,2.426582
p53,2035,2.567548
p53,2038,2.810453
p53,2041,2.668089
p53,2044,2.391494
p53,2047,2.198969
p53,2050,2.082522
p54,2010,4.656532
p54,2015,2.476338
p54,2020,1.487969
p54,2023,3.202641
p54,2026,2.370851
p54,2029,2.246599
p54,2032,2.398748
p54,2035,2.518321
p54,2038,2.760407
p54,2041,2.617564
p54,2044,2.344184
p54,2047,2.14565
p54,2050,2.030768
p55,2010,4.502542
p55,2015,2.357469
p55,2020,1.415245
p55,2023,3.173037
p55,2026,2.327797
p55,2029,2.225377
p55,2032,2.396173
p55,2035,2.519176
p55,2038,2.765404
p55,2041,2.61278
p55,2044,2.337207
p55,2047,2.14687
p55,2050,2.025675
p56,2010,4.238291
p56,2015,2.15848
p56,2020,1.293666
p56,2023,3.112353
p56,2026,2.223013
p56,2029,2.174054
p56,2032,2.408879
p56,2035,2.558965
p56,2038,2.80709
p56,2041,2.622045
p56,2044,2.332021
p56,2047,2.167899
p56,2050,2.0338
p57,2010,4.067233
p57,2015,2.054892
p57,2020,1.206361
p57,2023,3.060188
p57,2026,2.151004
p57,2029,2.142048
p57,2032,2.412056
p57,2035,2.579312
p57,2038,2.829939
p57,2041,2.638274
p57,2044,2.348716
p57,2047,2.189804
p57,2050,2.049453
p58,2010,4.098737
p58,2015,2.045295
p58,2020,1.254973
p58,2023,3.126534
p58,2026,2.215473
p58,2029,2.178351
p58,2032,2.432919
p58,2035,2.59037
p58,2038,2.843083
p58,2041,2.651001
p58,2044,2.353098
p58,2047,2.202531
p58,2050,2.064267
p59,2010,4.426125
p59,2015,2.299015
p59,2020,1.639657
p59,2023,3.328906
p59,2026,2.591111
p59,2029,2.517937
p59,2032,2.744767
p59,2035,2.985013
p59,2038,3.26353
p59,2041,3.100471
p59,2044,2.694399
p59,2047,2.4114
p59,2050,2.322129
p60,2010,4.057705
p60,2015,2.057795
p60,2020,1.191659
p60,2023,3.040122
p60,2026,2.131507
p60,2029,2.131069
p60,2032,2.405746
p60,2035,2.575968
p60,2038,2.825964
p60,2041,2.634425
p60,2044,2.347391
p60,2047,2.185955
p60,2050,2.044973
p61,2010,4.057705
p61,2015,2.057795
p61,2020,1.191659
p61,2023,3.040122
p61,2026,2.131507
p61,2029,2.131069
p61,2032,2.405746
p61,2035,2.575968
p61,2038,2.825964
p61,2041,2.634425
p61,2044,2.347391
p61,2047,2.185955
p61,2050,2.044973
p62,2010,4.057705
p62,2015,2.057795
p62,2020,1.191659
p62,2023,3.040122
p62,2026,2.131507
p62,2029,2.131069
p62,2032,2.405746
p62,2035,2.575968
p62,2038,2.825964
p62,2041,2.634425
p62,2044,2.347391
p62,2047,2.185955
p62,2050,2.044973
p63,2010,4.057705
p63,2015,2.057795
p63,2020,1.191659
p63,2023,3.040122
p63,2026,2.131507
p63,2029,2.131069
p63,2032,2.405746
p63,2035,2.575968
p63,2038,2.825964
p63,2041,2.634425
p63,2044,2.347391
p63,2047,2.185955
p63,2050,2.044973
p64,2010,4.057705
p64,2015,2.057795
p64,2020,1.191659
p64,2023,3.040122
p64,2026,2.131507
p64,2029,2.131069
p64,2032,2.405746
p64,2035,2.575968
p64,2038,2.825964
p64,2041,2.634425
p64,2044,2.347391
p64,2047,2.185955
