,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2528602617.5049996,1320298040.5702965,1203879490.57,2421687876.42,4497136771.44,6.0,364.7332666666666,190.44378632189253,173.6512,349.3115,648.6806
AL,2015,6.0,521428702.18,279522952.3422057,242826034.82,498328884.54,957798194.15,6.0,75.21246666666666,40.319245700417895,35.0259,71.8805,138.1557
AL,2020,6.0,678850678.7333335,354809803.90613145,323950209.96,651510885.71,1209418353.71,6.0,97.91946666666668,51.17883884382945,46.727599999999995,93.9759,174.4502
AL,2023,6.0,1018838634.32,541096661.5820864,477258538.22999996,973250319.52,1850718575.91,6.0,146.96031666666667,78.04942867212844,68.8411,140.38455,266.9532
AL,2026,6.0,911368355.19,485538273.2332955,426078315.93,870741464.585,1661812164.58,6.0,131.45855,70.03549547533022,61.4589,125.59835000000001,239.70479999999998
AL,2029,6.0,919293260.3816667,489999633.0412036,429790510.03000003,878526257.435,1677310002.53,6.0,132.60161666666667,70.67903008837673,61.9943,126.7213,241.94019999999998
AL,2032,6.0,868813417.2333332,462858006.22067964,406287891.2,830219707.31,1584224926.57,6.0,125.32028333333331,66.76398922291617,58.6042,119.75345,228.5133
AL,2035,6.0,728191495.1833334,387558680.6664175,340683819.85,695731085.915,1326200091.54,6.0,105.03654999999999,55.90261690002535,49.1413,100.35434999999998,191.2951
AL,2038,6.0,819845939.625,430744703.78455687,387196628.45,783338769.6199999,1469340993.8000002,6.0,118.2571,62.131893439585426,55.850500000000004,112.99119999999999,211.94219999999999
AL,2041,6.0,803671917.4399999,449985745.8409254,360305289.08000004,763535434.615,1545119600.85,6.0,115.92401666666667,64.90732222618391,51.9714,110.13455,222.8727
AL,2044,6.0,661743978.6333333,352834147.03229135,309108043.43,632120209.145,1207764554.79,6.0,95.45200000000001,50.893836889706,44.5867,91.179,174.2116
AL,2047,6.0,524059969.66833335,282846371.23021483,243248791.33,501293724.17,970241159.7299999,6.0,75.59196666666668,40.79861516001085,35.0869,72.3081,139.9505
