i,v,r,t,Value
battery_4,new1,p127,2050,196.6
battery_4,new1,p128,2026,483.794622
battery_4,new1,p128,2029,226.279341
battery_4,new1,p128,2038,73.189967
battery_4,new1,p128,2041,1926.810033
battery_4,new1,p128,2044,303.552799
battery_4,new1,p129,2023,10.0
battery_4,new1,p129,2044,739.555245
battery_4,new1,p129,2047,344.174755
battery_4,new1,p129,2050,6.7269
battery_4,new1,p131,2023,38.797904
battery_4,new1,p131,2026,11.202096
battery_4,new1,p131,2038,38.797904
battery_4,new1,p131,2041,11.202096
battery_4,new1,p133,2026,72.6
battery_4,new1,p133,2029,122.4
battery_4,new1,p133,2041,72.6
battery_4,new1,p133,2044,122.4
battery_4,new1,p133,2050,83.174005
battery_4,new1,p134,2050,34.929095
battery_8,new1,p10,2047,1242.372846
battery_8,new1,p10,2050,1474.58888
battery_8,new1,p11,2047,224.950322
battery_8,new1,p11,2050,221.390107
battery_8,new1,p37,2029,300.0
battery_8,new1,p44,2029,115.0
battery_8,new1,p45,2029,300.0
battery_8,new1,p60,2026,156.0
battery_8,new1,p60,2029,1558.605342
battery_8,new1,p61,2026,97.6
battery_8,new1,p62,2026,307.0
battery_8,new1,p63,2026,519.2
battery_8,new1,p63,2029,242.038127
battery_8,new1,p64,2026,668.0
battery_8,new1,p65,2026,1441.1
battery_8,new1,p65,2029,455.534601
battery_8,new1,p67,2026,880.0
battery_8,new1,p67,2029,1065.752241
battery_8,new1,p68,2029,185.0
battery_8,new1,p69,2029,135.0
battery_8,new1,p72,2029,300.0
battery_8,new1,p79,2029,300.0
battery_8,new1,p80,2029,300.0
battery_8,new1,p80,2050,1107.193152
battery_8,new1,p81,2050,121.822782
battery_8,new1,p82,2050,114.932121
battery_8,new1,p99,2029,561.0
battery_8,new1,p103,2029,3168.23
battery_8,new1,p104,2029,1352.0
battery_8,new1,p106,2029,300.0
battery_8,new1,p109,2029,335.0
battery_8,new1,p114,2029,300.0
battery_8,new1,p115,2029,300.0
battery_8,new1,p116,2029,300.0
battery_8,new1,p121,2029,100.0
battery_8,new1,p123,2029,1877.0
battery_8,new1,p125,2026,645.0
battery_8,new1,p126,2029,2157.653352
biopower,new1,p5,2015,1.0
biopower,new1,p9,2015,28.7
biopower,new1,p10,2015,6.1
biopower,new1,p15,2015,16.3
biopower,new1,p16,2015,5.0
biopower,new1,p25,2015,3.0
biopower,new1,p33,2015,12.6
biopower,new1,p43,2015,7.6
biopower,new1,p46,2015,3.2
biopower,new1,p63,2015,50.0
biopower,new1,p66,2015,146.5
biopower,new1,p70,2015,1.0
biopower,new1,p75,2015,47.1
biopower,new1,p76,2015,1.4
biopower,new1,p77,2015,1.6
biopower,new1,p78,2015,4.0
biopower,new1,p79,2015,2.0
biopower,new1,p94,2015,55.0
biopower,new1,p96,2015,58.2
biopower,new1,p97,2015,0.8
biopower,new1,p99,2015,44.3
biopower,new1,p101,2015,102.5
biopower,new1,p103,2015,5.8
biopower,new1,p112,2015,2.4
biopower,new1,z122,2015,2.5
biopower,new1,p130,2015,67.5
biopower,new1,p132,2015,37.5
biopower,new2,p9,2020,4.0
biopower,new2,p9,2023,9.2
biopower,new2,p10,2020,25.0
biopower,new2,p10,2023,2.6
biopower,new2,p94,2020,165.5
biopower,new2,p97,2020,5.2
biopower,new2,p98,2020,1.7
biopower,new2,p103,2020,38.0
biopower,new2,p133,2020,3.2
biopower,new2,p134,2020,15.6
biopower,new3,p10,2026,2.6
biopower,new3,p58,2026,321.0
biopower,new3,p58,2029,655.317644
biopower,new3,p97,2029,2.3
biopower,new3,p98,2029,29.2
biopower,new3,p102,2026,8.044903
biopower,new3,p115,2026,321.0
biopower,new3,p117,2026,321.0
biopower,new3,p118,2026,321.0
biopower,new3,p121,2026,29.189375
biopower,new3,p123,2026,291.810625
biopower,new3,p125,2026,321.0
biopower,new3,p126,2026,321.0
