eall,i,r,t,Value
CO2,biopower,p46,2010,985.978567
CO2,biopower,p46,2015,949.707065
CO2,biopower,p46,2020,664.728895
CO2,biopower,p46,2023,385.862197
CO2,biopower,p46,2026,385.446079
CO2,biopower,p46,2029,391.236583
CO2,biopower,p46,2032,55.856563
CO2,biopower,p46,2035,55.856563
CO2,biopower,p46,2038,55.856563
CO2,biopower,p46,2041,55.856563
CO2,biopower,p46,2044,55.856563
CO2,biopower,p46,2047,55.856563
CO2,biopower,p46,2050,55.856563
CO2,biopower,p58,2010,238.873847
CO2,biopower,p58,2015,238.873847
CO2,biopower,p58,2020,238.873847
CO2,biopower,p58,2023,238.873847
CO2,biopower,p58,2026,82011.943279
CO2,biopower,p58,2029,239255.082926
CO2,biopower,p58,2032,106560.345333
CO2,biopower,p58,2035,53280.172667
CO2,biopower,p58,2038,53280.172667
CO2,biopower,p58,2041,53280.172667
CO2,biopower,p58,2044,53280.172667
CO2,biopower,p58,2047,80314.076224
CO2,biopower,p58,2050,17041.796308
CO2,biopower,p63,2015,1722.581429
CO2,biopower,p63,2020,872.7588
CO2,biopower,p63,2023,2043.942995
CO2,biopower,p63,2026,872.7588
CO2,biopower,p63,2029,872.7588
CO2,biopower,p63,2032,872.7588
CO2,biopower,p63,2035,872.7588
CO2,biopower,p63,2038,872.7588
CO2,biopower,p63,2041,872.7588
CO2,biopower,p63,2044,872.7588
CO2,biopower,p63,2047,872.7588
CO2,biopower,p63,2050,872.7588
CO2,biopower,p66,2015,13221.915442
CO2,biopower,p66,2020,2557.183284
CO2,biopower,p66,2023,13279.086122
CO2,biopower,p66,2026,2557.183284
CO2,biopower,p66,2029,2557.183284
CO2,biopower,p66,2032,2557.183284
CO2,biopower,p66,2035,2557.183284
CO2,biopower,p66,2038,2557.183284
CO2,biopower,p66,2041,2557.183284
CO2,biopower,p66,2044,2557.183284
CO2,biopower,p66,2047,2557.183284
CO2,biopower,p66,2050,2557.183284
CO2,biopower,p70,2015,52.099635
CO2,biopower,p70,2020,17.455176
CO2,biopower,p70,2023,61.989675
CO2,biopower,p70,2026,43.292311
CO2,biopower,p70,2029,17.455176
CO2,biopower,p70,2032,17.455176
CO2,biopower,p70,2035,17.455176
CO2,biopower,p70,2038,17.455176
CO2,biopower,p70,2041,17.455176
CO2,biopower,p70,2044,17.455176
CO2,biopower,p70,2047,17.455176
CO2,biopower,p70,2050,17.455176
CO2,biopower,p74,2010,337.172978
CO2,biopower,p74,2015,337.172978
CO2,biopower,p74,2020,337.172978
CO2,biopower,p74,2023,337.172978
CO2,biopower,p74,2026,337.172978
CO2,biopower,p74,2029,337.172978
CO2,biopower,p75,2010,768.027744
CO2,biopower,p75,2015,2763.686198
CO2,biopower,p75,2020,1590.166534
CO2,biopower,p75,2023,2830.512519
CO2,biopower,p75,2026,2777.374636
CO2,biopower,p75,2029,1590.166534
CO2,biopower,p75,2032,822.13879
CO2,biopower,p75,2035,822.13879
CO2,biopower,p75,2038,822.13879
CO2,biopower,p75,2041,822.13879
CO2,biopower,p75,2044,822.13879
CO2,biopower,p75,2047,822.13879
