i,r,t,Value
battery_4,p34,2050,-353120.778131
battery_4,p37,2029,-43448.668277
battery_4,p37,2032,-48673.514252
battery_4,p37,2035,-60183.422138
battery_4,p37,2038,-61413.164129
battery_4,p37,2041,-68411.862741
battery_4,p37,2044,-0.0
battery_4,p39,2032,-18700.850247
battery_4,p39,2035,-90043.990751
battery_4,p39,2038,-91357.152884
battery_4,p39,2041,-95570.714898
battery_4,p39,2044,-92812.398109
battery_4,p39,2047,-84842.062875
battery_4,p39,2050,-119870.246713
battery_4,p40,2023,-267.839277
battery_4,p40,2026,-278.392302
battery_4,p40,2029,-314.031144
battery_4,p40,2032,-319.078677
battery_4,p40,2035,-321.208593
battery_4,p40,2044,0.0
battery_4,p40,2050,-341226.302522
battery_4,p41,2044,-65878.01157
battery_4,p41,2047,-154927.79667
battery_4,p41,2050,-177115.073399
battery_4,p42,2044,-0.0
battery_4,p43,2023,-182.782991
battery_4,p43,2026,-176.872252
battery_4,p43,2029,-55004.295711
battery_4,p43,2032,-58797.965165
battery_4,p43,2035,-78170.221122
battery_4,p43,2038,-449866.90771
battery_4,p43,2041,-487026.129091
battery_4,p43,2044,-434450.470486
battery_4,p43,2047,-449446.249248
battery_4,p43,2050,-464351.613148
battery_4,p44,2038,-19329.402438
battery_4,p44,2041,-20767.298508
battery_4,p44,2044,-92055.541931
battery_4,p44,2047,-96381.718998
battery_4,p44,2050,-102256.288502
battery_4,p45,2038,-48089.131848
battery_4,p45,2041,-52395.45655
battery_4,p45,2044,-87326.762565
battery_4,p45,2047,-94456.372975
battery_4,p45,2050,-98515.680247
battery_4,p46,2035,0.0
battery_4,p46,2044,-0.0
battery_4,p47,2032,-95380.11139
battery_4,p47,2035,-178676.272915
battery_4,p47,2038,-182309.684585
battery_4,p47,2041,-210202.905284
battery_4,p47,2044,-393572.818344
battery_4,p47,2047,-349997.606393
battery_4,p47,2050,-283416.248049
battery_4,p48,2026,-69029.377768
battery_4,p48,2029,-61275.602699
battery_4,p48,2032,-166312.930729
battery_4,p48,2035,-294947.420789
battery_4,p48,2038,-326833.890136
battery_4,p48,2041,-291378.607343
battery_4,p48,2044,-352324.43152
battery_4,p48,2047,-319591.020276
battery_4,p48,2050,-406644.798761
battery_4,p49,2035,-216789.164889
battery_4,p49,2038,-218788.939226
battery_4,p49,2041,-227798.747982
battery_4,p49,2044,-218287.113318
battery_4,p49,2047,-237047.241466
battery_4,p51,2047,-0.0
battery_4,p52,2035,-136517.42498
battery_4,p52,2038,-134489.265171
battery_4,p52,2041,-139974.335227
battery_4,p52,2044,-140330.343191
battery_4,p52,2047,-138114.791167
battery_4,p52,2050,-82850.758851
battery_4,p53,2044,-0.0
battery_4,p53,2050,-422239.924197
battery_4,p54,2041,-4280.526927
battery_4,p54,2044,-31900.031761
battery_4,p54,2047,-69740.187243
battery_4,p54,2050,-76388.593562
battery_4,p55,2044,-0.0
battery_4,p56,2044,-0.0
battery_4,p56,2047,-7865.040757
battery_4,p56,2050,-8595.361271
battery_4,p57,2032,-11594.367419
battery_4,p57,2035,-37995.921054
battery_4,p57,2038,-37239.647231
battery_4,p57,2041,-39188.582789
battery_4,p57,2044,-62299.214301
battery_4,p57,2047,-64175.071737
battery_4,p57,2050,-28934.537523
battery_4,p58,2038,-282505.785181
battery_4,p58,2041,-337678.56812
battery_4,p58,2044,-688935.481588
battery_4,p58,2047,-752797.767629
battery_4,p58,2050,-824446.421932
battery_4,p59,2035,-60630.390566
battery_4,p59,2038,-248965.289039
battery_4,p59,2041,-265809.508292
battery_4,p59,2044,-258091.53563
battery_4,p59,2047,-278830.194665
battery_4,p59,2050,-203217.679686
battery_4,p60,2023,-10716.184731
battery_4,p60,2026,-56218.797883
battery_4,p60,2029,-57221.351513
battery_4,p60,2032,-63966.331814
battery_4,p60,2035,-244957.605856
battery_4,p60,2038,-776777.180896
battery_4,p60,2041,-879123.311999
battery_4,p60,2044,-930189.808434
battery_4,p60,2047,-942454.651207
battery_4,p60,2050,-876048.889108
battery_4,p61,2023,-63584.091692
battery_4,p61,2026,-179344.150535
battery_4,p61,2029,-193098.571364
battery_4,p61,2032,-221300.753497
battery_4,p61,2035,-216869.302048
battery_4,p61,2038,-135850.681924
battery_4,p61,2044,-431112.231437
battery_4,p61,2047,-427326.728637
battery_4,p61,2050,-492491.122271
battery_4,p62,2023,-131421.908791
battery_4,p62,2026,-136442.442869
battery_4,p62,2029,-151950.848319
battery_4,p62,2032,-161076.129032
battery_4,p62,2035,-162705.900389
battery_4,p62,2038,-60692.166929
battery_4,p62,2041,-78626.464626
battery_4,p62,2044,-124407.722681
battery_4,p62,2047,-126369.952475
battery_4,p62,2050,-139893.740555
battery_4,p63,2023,-155433.684376
battery_4,p63,2026,-208641.185947
battery_4,p63,2029,-462266.787194
battery_4,p63,2032,-525927.951835
battery_4,p63,2035,-499822.180893
battery_4,p63,2038,-399747.18971
battery_4,p63,2041,-747904.990688
battery_4,p63,2044,-1326160.522717
battery_4,p63,2047,-1315220.542225
battery_4,p63,2050,-1410945.650792
battery_4,p64,2023,-78336.79424
battery_4,p64,2026,-113880.765156
battery_4,p64,2029,-145452.000378
battery_4,p64,2032,-180985.87152
battery_4,p64,2035,-181444.594442
battery_4,p64,2038,-87768.392909
battery_4,p64,2041,-50994.495884
battery_4,p64,2044,-0.0
battery_4,p65,2023,-75182.736889
battery_4,p65,2026,-98390.876654
battery_4,p65,2029,-364241.680284
battery_4,p65,2032,-553178.044286
battery_4,p65,2035,-648571.614276
battery_4,p65,2038,-498028.185197
battery_4,p65,2041,-700470.156136
battery_4,p65,2044,-1608294.054926
battery_4,p65,2047,-1719741.30868
battery_4,p65,2050,-1830334.129087
battery_4,p66,2038,-4127.836169
battery_4,p66,2041,-4978.766174
battery_4,p66,2044,-117694.113108
battery_4,p66,2047,-170809.634144
battery_4,p66,2050,-199800.186708
battery_4,p67,2023,-54645.137536
battery_4,p67,2026,-83980.053231
battery_4,p67,2029,-278167.453152
battery_4,p67,2032,-448092.604317
battery_4,p67,2035,-528789.350762
battery_4,p67,2038,-482053.776964
battery_4,p67,2041,-528080.647644
battery_4,p67,2044,-791554.663177
battery_4,p67,2047,-856620.276081
battery_4,p67,2050,-928588.125533
battery_4,p68,2044,-0.0
battery_4,p69,2029,-4685.341026
battery_4,p69,2032,-20642.15718
battery_4,p69,2035,-60539.12217
battery_4,p69,2038,-61002.311371
battery_4,p69,2041,-65537.577374
battery_4,p69,2044,-293048.685098
battery_4,p69,2047,-293236.99397
battery_4,p69,2050,-260485.076933
battery_4,p70,2023,-1328.263677
battery_4,p70,2026,-1305.111614
battery_4,p70,2029,-32580.674544
battery_4,p70,2032,-30087.900666
battery_4,p70,2035,-34159.159214
battery_4,p70,2038,-33821.838513
battery_4,p70,2041,-35991.878177
battery_4,p70,2044,-0.0
battery_4,p71,2038,-130410.846012
battery_4,p71,2041,-129880.923736
battery_4,p71,2044,-533816.561829
battery_4,p71,2047,-692684.050592
battery_4,p71,2050,-1097361.999877
battery_4,p72,2029,-90475.266048
battery_4,p72,2032,-89465.802829
battery_4,p72,2035,-102028.322533
battery_4,p72,2038,-106629.69099
battery_4,p72,2041,-117558.143147
battery_4,p72,2044,-194969.313063
battery_4,p72,2047,-227928.212959
battery_4,p72,2050,-231294.001527
battery_4,p73,2044,0.0
battery_4,p74,2026,-113351.623745
battery_4,p74,2029,-93439.213046
battery_4,p74,2032,-126736.865887
battery_4,p74,2035,-187478.334391
battery_4,p74,2038,-205255.986846
battery_4,p74,2041,-165583.779462
battery_4,p74,2044,-156412.444352
battery_4,p74,2047,-183494.014593
battery_4,p74,2050,-201423.010303
battery_4,p75,2044,-0.0
battery_4,p76,2023,-1145.517156
battery_4,p76,2026,-1125.421933
battery_4,p76,2029,-833.417885
battery_4,p76,2032,-909.765546
battery_4,p76,2035,-1204.342755
battery_4,p76,2044,-0.0
battery_4,p77,2023,-71.444381
battery_4,p77,2026,-68.124575
battery_4,p77,2029,-50.792393
battery_4,p77,2032,-57.37354
battery_4,p77,2035,-75.908955
battery_4,p77,2044,-0.0
battery_4,p78,2023,-68.731029
battery_4,p78,2026,-69.050833
battery_4,p78,2029,-50.792393
battery_4,p78,2032,-55.876088
battery_4,p78,2035,-72.260565
battery_4,p79,2029,-43661.608113
battery_4,p79,2032,-45130.618337
battery_4,p79,2035,-75125.194791
battery_4,p79,2038,-69932.137824
battery_4,p79,2041,-70701.748282
battery_4,p80,2029,-5662.379782
battery_4,p80,2032,-4841.075809
battery_4,p80,2035,-5397.750757
battery_4,p80,2038,-426673.569483
battery_4,p80,2041,-405500.133443
battery_4,p80,2044,-441964.243865
battery_4,p80,2047,-528462.509061
battery_4,p80,2050,-551085.49248
battery_4,p81,2029,-86061.780854
battery_4,p81,2032,-83110.876214
battery_4,p81,2035,-95449.176236
battery_4,p81,2038,-110535.458765
battery_4,p81,2041,-119881.105316
battery_4,p81,2044,-121044.963532
battery_4,p81,2047,-138716.971791
battery_4,p81,2050,-140978.633854
battery_4,p83,2050,-69339.260537
battery_4,p84,2038,-74480.480133
battery_4,p84,2041,-83868.727264
battery_4,p84,2044,-111611.254381
battery_4,p84,2047,-125050.929482
battery_4,p84,2050,-133301.251327
battery_4,p85,2044,0.0
battery_4,p86,2035,-0.0
battery_4,p86,2038,-304984.263816
battery_4,p86,2041,-352441.79423
battery_4,p86,2044,-364142.432936
battery_4,p86,2047,-375855.571688
battery_4,p86,2050,-414756.473857
battery_4,p87,2023,-149.480318
battery_4,p87,2026,-30.934198
battery_4,p87,2029,-215.493508
battery_4,p87,2032,-289.0995
battery_4,p87,2035,-310.890515
battery_4,p87,2038,-66354.89554
battery_4,p87,2041,-73503.048153
battery_4,p87,2044,-79270.230483
