i,v,r,t,Value
battery_4,new1,p47,2044,351261.095028
battery_4,new1,p47,2047,530477.88956
battery_4,new1,p47,2050,1275163.311476
battery_4,new1,p48,2026,368333.012349
battery_4,new1,p48,2029,356829.472571
battery_4,new1,p48,2032,314766.766295
battery_4,new1,p48,2035,318068.355027
battery_4,new1,p48,2038,288728.042381
battery_4,new1,p48,2044,780988.407409
battery_4,new1,p48,2047,1354456.844892
battery_4,new1,p48,2050,1278138.504382
battery_4,new1,p50,2050,506794.222447
battery_4,new1,p53,2050,123328.306742
battery_4,new1,p57,2050,99329.911895
battery_4,new1,p58,2050,776776.763015
battery_4,new1,p59,2047,200411.33255
battery_4,new1,p59,2050,176592.131273
battery_4,new1,p60,2023,52492.105202
battery_4,new1,p60,2026,304414.254212
battery_4,new1,p60,2029,355015.367185
battery_4,new1,p60,2032,290909.457334
battery_4,new1,p60,2035,246116.144724
battery_4,new1,p60,2038,237594.528927
battery_4,new1,p60,2044,2064353.729082
battery_4,new1,p60,2047,2213588.019864
battery_4,new1,p60,2050,2976765.033784
battery_4,new1,p61,2023,333253.476779
battery_4,new1,p61,2026,1028468.737587
battery_4,new1,p61,2029,1290871.422112
battery_4,new1,p61,2032,1156910.126009
battery_4,new1,p61,2035,1060615.503352
battery_4,new1,p61,2038,705102.019637
battery_4,new1,p61,2044,31309.526888
battery_4,new1,p61,2047,85652.832475
battery_4,new1,p61,2050,87142.853964
battery_4,new1,p62,2023,653881.787213
battery_4,new1,p62,2026,743255.359944
battery_4,new1,p62,2029,997843.205718
battery_4,new1,p62,2032,783721.571077
battery_4,new1,p62,2035,772985.19387
battery_4,new1,p62,2044,74832.812313
battery_4,new1,p62,2047,494235.41657
battery_4,new1,p62,2050,495348.203552
battery_4,new1,p63,2023,786689.329377
battery_4,new1,p63,2026,1171104.083416
battery_4,new1,p63,2029,1359184.583703
battery_4,new1,p63,2032,1228323.82049
battery_4,new1,p63,2035,1077955.552631
battery_4,new1,p63,2038,190429.889895
battery_4,new1,p64,2023,398041.590826
battery_4,new1,p64,2026,587632.13254
battery_4,new1,p64,2029,735943.31176
battery_4,new1,p64,2032,633670.432572
battery_4,new1,p64,2035,546779.386316
battery_4,new1,p64,2038,158269.770728
battery_4,new1,p65,2023,394026.110916
battery_4,new1,p65,2026,563264.317693
battery_4,new1,p65,2029,412493.538473
battery_4,new1,p65,2032,468200.147714
battery_4,new1,p65,2035,467229.250316
battery_4,new1,p65,2038,88922.352727
battery_4,new1,p66,2029,121953.350584
battery_4,new1,p66,2032,145302.166643
battery_4,new1,p66,2035,147461.425748
battery_4,new1,p66,2038,110158.301845
battery_4,new1,p66,2041,111785.534424
battery_4,new1,p67,2023,246205.344418
battery_4,new1,p67,2026,362599.768998
battery_4,new1,p67,2029,1632352.947871
battery_4,new1,p67,2032,2638812.904377
battery_4,new1,p67,2035,1415867.794284
battery_4,new1,p67,2038,1318767.755032
battery_4,new1,p67,2041,1559163.482592
battery_4,new1,p68,2029,199517.897332
battery_4,new1,p68,2032,144608.280753
battery_4,new1,p68,2035,104593.127951
battery_4,new1,p68,2038,96637.900688
battery_4,new1,p68,2041,108476.085484
battery_4,new1,p70,2023,6234.337317
battery_4,new1,p70,2026,7308.17929
battery_4,new1,p70,2029,7872.219547
battery_4,new1,p70,2032,6738.03702
battery_4,new1,p70,2035,4396.14181
battery_4,new1,p72,2029,430786.566834
battery_4,new1,p72,2032,391496.00594
battery_4,new1,p72,2035,269893.639317
battery_4,new1,p72,2038,210087.516813
battery_4,new1,p72,2041,202960.100003
battery_4,new1,p74,2026,666702.485999
battery_4,new1,p74,2029,490138.0219
battery_4,new1,p74,2032,421757.014186
battery_4,new1,p74,2035,466771.81117
battery_4,new1,p74,2038,386740.775129
battery_4,new1,p74,2044,201904.607654
battery_4,new1,p74,2047,157059.207103
battery_4,new1,p74,2050,146299.247703
battery_4,new1,p76,2023,6255.671554
battery_4,new1,p76,2026,6566.842379
battery_4,new1,p76,2029,4554.678372
battery_4,new1,p76,2032,4003.235507
battery_4,new1,p76,2035,3866.08881
battery_4,new1,p77,2023,383.795493
battery_4,new1,p77,2026,387.29483
battery_4,new1,p77,2029,279.348705
battery_4,new1,p77,2032,239.40681
battery_4,new1,p77,2035,232.859509
battery_4,new1,p78,2023,383.795493
battery_4,new1,p78,2026,388.864094
battery_4,new1,p78,2029,274.942822
battery_4,new1,p78,2032,234.94533
