r,rr,trtype,t,Value
p5,p7,AC,2041,1254797.47008
p5,p7,AC,2044,1254797.47008
p5,p7,AC,2047,1254797.47008
p5,p7,AC,2050,1254797.47008
p5,p10,LCC,2010,2874659.0
p5,p10,LCC,2015,2874659.0
p5,p10,LCC,2020,2874659.0
p5,p10,LCC,2023,2874659.0
p5,p10,LCC,2026,2874659.0
p5,p10,LCC,2029,2874659.0
p5,p10,LCC,2032,2874659.0
p5,p10,LCC,2035,2874659.0
p5,p10,LCC,2038,2874659.0
p5,p10,LCC,2041,2874659.0
p5,p10,LCC,2044,2874659.0
p5,p10,LCC,2047,2874659.0
p5,p10,LCC,2050,2874659.0
p5,p14,AC,2010,153287.000945
p5,p14,AC,2015,153287.000945
p5,p14,AC,2020,153287.000945
p5,p14,AC,2023,153287.000945
p5,p14,AC,2026,153287.000945
p5,p14,AC,2029,153287.000945
p5,p14,AC,2032,153287.000945
p5,p14,AC,2035,153287.000945
p5,p14,AC,2038,153287.000945
p5,p14,AC,2041,153287.000945
p5,p14,AC,2044,153287.000945
p5,p14,AC,2047,153287.000945
p5,p14,AC,2050,153287.000945
p5,p15,AC,2010,1524011.9844
p5,p15,AC,2015,1524011.9844
p5,p15,AC,2020,1524011.9844
p5,p15,AC,2023,1524011.9844
p5,p15,AC,2026,1524011.9844
p5,p15,AC,2029,1524011.9844
p5,p15,AC,2032,1524011.9844
p5,p15,AC,2035,1524011.9844
p5,p15,AC,2038,1524011.9844
p5,p15,AC,2041,1524011.9844
p5,p15,AC,2044,1524011.9844
p5,p15,AC,2047,1524011.9844
p5,p15,AC,2050,1524011.9844
p6,p7,AC,2010,1099924.56
p6,p7,AC,2015,1099924.56
p6,p7,AC,2020,1099924.56
p6,p7,AC,2023,1099924.56
p6,p7,AC,2026,1099924.56
p6,p7,AC,2029,1099924.56
p6,p7,AC,2032,1099924.56
p6,p7,AC,2035,1099924.56
p6,p7,AC,2038,1099924.56
p6,p7,AC,2041,1099924.56
p6,p7,AC,2044,1099924.56
p6,p7,AC,2047,1099924.56
p6,p7,AC,2050,1099924.56
p6,p8,AC,2010,40044.43075
p6,p8,AC,2015,40044.43075
