sys_costs,r,t,Value
inv_investment_capacity_costs,p6,2023,5125610.50176
inv_investment_capacity_costs,p6,2026,3412569.2986
inv_investment_capacity_costs,p6,2032,5588998.03829
inv_investment_capacity_costs,p6,2035,1107601131.105501
inv_investment_capacity_costs,p6,2038,25870001.480965
inv_investment_capacity_costs,p6,2041,375643156.570971
inv_investment_capacity_costs,p6,2044,350067018.143456
inv_investment_capacity_costs,p6,2047,380262887.753085
inv_investment_capacity_costs,p6,2050,730564667.545193
inv_investment_capacity_costs,p7,2015,123359040.2518
inv_investment_capacity_costs,p7,2020,289299197.402448
inv_investment_capacity_costs,p7,2023,404804320.6172
inv_investment_capacity_costs,p7,2026,291899.5464
inv_investment_capacity_costs,p7,2029,1634003714.749503
inv_investment_capacity_costs,p7,2032,2843206614.653436
inv_investment_capacity_costs,p7,2035,782547853.544194
inv_investment_capacity_costs,p7,2038,916825048.236316
inv_investment_capacity_costs,p7,2041,929146725.375415
inv_investment_capacity_costs,p7,2044,984900609.607372
inv_investment_capacity_costs,p7,2047,411472538.364649
inv_investment_capacity_costs,p7,2050,206103010.32398
inv_investment_capacity_costs,p8,2010,4551412.95
inv_investment_capacity_costs,p8,2020,10319800.7992
inv_investment_capacity_costs,p8,2026,350148846.06
inv_investment_capacity_costs,p8,2029,634545677.082381
inv_investment_capacity_costs,p8,2032,104762058.326215
inv_investment_capacity_costs,p8,2035,23536671.59033
inv_investment_capacity_costs,p8,2038,180573637.262376
inv_investment_capacity_costs,p8,2041,32756420.138945
inv_investment_capacity_costs,p8,2044,288446501.16647
inv_investment_capacity_costs,p8,2047,318790224.652868
inv_investment_capacity_costs,p8,2050,474713764.672427
inv_investment_capacity_costs,p9,2010,1293396715.401504
inv_investment_capacity_costs,p9,2015,7188425870.453658
inv_investment_capacity_costs,p9,2020,2101559512.194385
inv_investment_capacity_costs,p9,2023,5965400198.323864
inv_investment_capacity_costs,p9,2026,5032366200.662535
inv_investment_capacity_costs,p9,2029,13611899792.92169
inv_investment_capacity_costs,p9,2032,6670617184.660402
inv_investment_capacity_costs,p9,2035,16775961244.375618
inv_investment_capacity_costs,p9,2038,17899429412.19029
inv_investment_capacity_costs,p9,2041,4092463360.403251
inv_investment_capacity_costs,p9,2044,7043428964.210536
inv_investment_capacity_costs,p9,2047,4708239895.822897
inv_investment_capacity_costs,p9,2050,4137219515.32163
inv_investment_capacity_costs,p10,2010,399069353.6868
inv_investment_capacity_costs,p10,2015,19587504060.770714
inv_investment_capacity_costs,p10,2020,6457740260.304235
inv_investment_capacity_costs,p10,2023,12867377366.501217
inv_investment_capacity_costs,p10,2026,8339842533.526109
inv_investment_capacity_costs,p10,2029,5069741093.102432
inv_investment_capacity_costs,p10,2032,3084189453.278522
inv_investment_capacity_costs,p10,2035,18019504245.806183
inv_investment_capacity_costs,p10,2038,22983265591.68758
inv_investment_capacity_costs,p10,2041,18856274934.729034
inv_investment_capacity_costs,p10,2044,12524944264.784584
inv_investment_capacity_costs,p10,2047,3471835744.495533
inv_investment_capacity_costs,p10,2050,14767454552.746038
inv_investment_capacity_costs,p11,2010,152825427.6507
inv_investment_capacity_costs,p11,2015,272464875.320572
inv_investment_capacity_costs,p11,2020,1561349845.426356
inv_investment_capacity_costs,p11,2023,562055773.370845
inv_investment_capacity_costs,p11,2026,1219277626.736516
inv_investment_capacity_costs,p11,2029,1584275820.254
inv_investment_capacity_costs,p11,2032,2002942883.010916
inv_investment_capacity_costs,p11,2035,310844007.538021
inv_investment_capacity_costs,p11,2038,1889929021.744783
inv_investment_capacity_costs,p11,2041,3189633749.3425
inv_investment_capacity_costs,p11,2044,391046124.116794
inv_investment_capacity_costs,p11,2047,702613817.309316
inv_investment_capacity_costs,p11,2050,697715377.610566
inv_investment_capacity_costs,p12,2010,54151506.4272
inv_investment_capacity_costs,p12,2015,1224295425.586614
inv_investment_capacity_costs,p12,2020,635194118.4251
inv_investment_capacity_costs,p12,2023,670515144.912097
inv_investment_capacity_costs,p12,2026,597788045.9202
inv_investment_capacity_costs,p12,2029,462299675.575999
inv_investment_capacity_costs,p12,2032,1264302.72295
inv_investment_capacity_costs,p12,2035,679757867.595517
inv_investment_capacity_costs,p12,2038,1307794032.854846
inv_investment_capacity_costs,p12,2041,1654287135.358767
inv_investment_capacity_costs,p12,2044,1512213817.828616
inv_investment_capacity_costs,p12,2047,1434021630.604695
inv_investment_capacity_costs,p12,2050,322253707.781708
inv_investment_capacity_costs,p13,2010,242137336.43578
inv_investment_capacity_costs,p13,2015,1992302510.77908
inv_investment_capacity_costs,p13,2020,1251699431.735074
inv_investment_capacity_costs,p13,2023,1035309514.9574
inv_investment_capacity_costs,p13,2026,917309523.6452
inv_investment_capacity_costs,p13,2029,841577127.508
inv_investment_capacity_costs,p13,2032,4690291886.046501
inv_investment_capacity_costs,p13,2035,4573928368.536925
inv_investment_capacity_costs,p13,2038,2203361170.213249
inv_investment_capacity_costs,p13,2041,1182244568.360937
inv_investment_capacity_costs,p13,2044,2044602914.202535
inv_investment_capacity_costs,p13,2047,1437168014.389147
inv_investment_capacity_costs,p13,2050,4050888953.510418
inv_investment_capacity_costs,p14,2015,4178421.632
inv_investment_capacity_costs,p14,2029,2187401.880811
inv_investment_capacity_costs,p14,2032,250268712.211738
inv_investment_capacity_costs,p14,2038,23794647.899564
inv_investment_capacity_costs,p14,2041,367742226.670452
inv_investment_capacity_costs,p14,2044,54157256.079718
inv_investment_capacity_costs,p15,2010,150422595.576866
inv_investment_capacity_costs,p15,2015,675088979.929245
inv_investment_capacity_costs,p15,2020,209270536.661561
inv_investment_capacity_costs,p15,2023,287000701.155098
inv_investment_capacity_costs,p15,2029,116974881.376124
inv_investment_capacity_costs,p15,2032,230873741.507968
inv_investment_capacity_costs,p15,2035,308209966.681646
inv_investment_capacity_costs,p15,2038,103069850.353703
inv_investment_capacity_costs,p15,2041,219943851.200385
inv_investment_capacity_costs,p15,2044,574091987.859136
inv_investment_capacity_costs,p15,2047,1994445555.282757
inv_investment_capacity_costs,p15,2050,2153672869.143357
inv_investment_capacity_costs,p16,2010,289509754.8075
inv_investment_capacity_costs,p16,2015,506435993.632182
inv_investment_capacity_costs,p16,2020,41020975.5488
inv_investment_capacity_costs,p16,2023,300041955.288
inv_investment_capacity_costs,p16,2026,4136074.304
inv_investment_capacity_costs,p16,2029,1248000649.542739
inv_investment_capacity_costs,p16,2032,1470754633.985911
inv_investment_capacity_costs,p16,2035,197437761.909781
inv_investment_capacity_costs,p16,2038,231691918.750536
inv_investment_capacity_costs,p16,2041,22985544.259064
inv_investment_capacity_costs,p16,2044,42708097.557936
inv_investment_capacity_costs,p16,2047,60700098.228
inv_investment_capacity_costs,p16,2050,184076005.933274
inv_investment_capacity_costs,p17,2015,116182780.801508
inv_investment_capacity_costs,p17,2023,170802855.936147
inv_investment_capacity_costs,p17,2029,144822932.864416
inv_investment_capacity_costs,p17,2032,11077452.426506
inv_investment_capacity_costs,p17,2035,164220033.386484
inv_investment_capacity_costs,p17,2038,2635667.683964
inv_investment_capacity_costs,p17,2041,51495768.862725
inv_investment_capacity_costs,p17,2044,238730017.536519
inv_investment_capacity_costs,p17,2047,42657106.938163
inv_investment_capacity_costs,p17,2050,152321181.961477
inv_investment_capacity_costs,p18,2015,30262964261.911278
inv_investment_capacity_costs,p18,2020,1618258321.510596
inv_investment_capacity_costs,p18,2023,1711421593.45397
inv_investment_capacity_costs,p18,2026,367593726.72
inv_investment_capacity_costs,p18,2029,856787693.993294
inv_investment_capacity_costs,p18,2032,133062632.556177
inv_investment_capacity_costs,p18,2035,309514766.441427
inv_investment_capacity_costs,p18,2038,116690956.304122
inv_investment_capacity_costs,p18,2041,100620173.763296
inv_investment_capacity_costs,p18,2044,870295811.663278
inv_investment_capacity_costs,p18,2047,426880099.772921
inv_investment_capacity_costs,p18,2050,122863488.377005
