eall,i,r,t,Value
CO2,biopower,p46,2010,977.579443
CO2,biopower,p46,2015,992.952826
CO2,biopower,p46,2020,693.436889
CO2,biopower,p46,2023,401.064662
CO2,biopower,p46,2026,389.8385
CO2,biopower,p46,2029,388.133273
CO2,biopower,p46,2032,133.195689
CO2,biopower,p46,2035,114.40579
CO2,biopower,p46,2038,124.058633
CO2,biopower,p46,2041,164.739482
CO2,biopower,p46,2044,402.832801
CO2,biopower,p46,2047,427.58904
CO2,biopower,p46,2050,402.481243
CO2,biopower,p58,2010,238.873847
CO2,biopower,p58,2015,238.873847
CO2,biopower,p58,2020,238.873847
CO2,biopower,p58,2023,3348.686838
CO2,biopower,p58,2026,82022.897436
CO2,biopower,p58,2029,53280.172666
CO2,biopower,p58,2032,54374.566584
CO2,biopower,p58,2035,19921.827737
CO2,biopower,p58,2038,16337.502688
CO2,biopower,p58,2041,14303.094577
CO2,biopower,p58,2044,25543.261553
CO2,biopower,p58,2047,25661.662723
CO2,biopower,p58,2050,5603.111496
CO2,biopower,p63,2015,872.7588
CO2,biopower,p63,2020,872.7588
CO2,biopower,p63,2023,872.7588
CO2,biopower,p63,2026,872.7588
CO2,biopower,p63,2029,872.7588
CO2,biopower,p63,2032,872.7588
CO2,biopower,p63,2035,872.7588
CO2,biopower,p63,2038,872.7588
CO2,biopower,p63,2041,2942.889282
CO2,biopower,p63,2044,3046.315757
CO2,biopower,p63,2047,6515.188887
CO2,biopower,p63,2050,5573.029463
CO2,biopower,p66,2015,2557.183284
CO2,biopower,p66,2020,2557.183284
CO2,biopower,p66,2023,13748.411574
CO2,biopower,p66,2026,2557.183284
CO2,biopower,p66,2029,2557.183284
CO2,biopower,p66,2032,2557.183284
CO2,biopower,p66,2035,2557.183284
CO2,biopower,p66,2038,2557.183284
CO2,biopower,p66,2041,11742.136817
CO2,biopower,p66,2044,12276.71336
CO2,biopower,p66,2047,16267.096374
CO2,biopower,p66,2050,16769.864134
CO2,biopower,p70,2015,17.455176
CO2,biopower,p70,2020,17.455176
CO2,biopower,p70,2023,17.503297
CO2,biopower,p70,2026,17.455176
CO2,biopower,p70,2029,17.455176
CO2,biopower,p70,2032,23.609034
CO2,biopower,p70,2035,17.455176
CO2,biopower,p70,2038,26.72811
CO2,biopower,p70,2041,46.355104
CO2,biopower,p70,2044,98.75815
CO2,biopower,p70,2047,120.465549
CO2,biopower,p70,2050,112.988816
CO2,biopower,p74,2010,337.172978
CO2,biopower,p74,2015,337.172978
CO2,biopower,p74,2020,337.172978
CO2,biopower,p74,2023,337.172978
CO2,biopower,p74,2026,337.172978
CO2,biopower,p74,2029,337.172978
CO2,biopower,p75,2010,768.027744
CO2,biopower,p75,2015,1590.166534
CO2,biopower,p75,2020,1590.166534
CO2,biopower,p75,2023,1590.166534
CO2,biopower,p75,2026,1590.166534
CO2,biopower,p75,2029,1590.166534
CO2,biopower,p75,2032,1956.011435
CO2,biopower,p75,2035,1591.324999
CO2,biopower,p75,2038,1733.402792
CO2,biopower,p75,2041,2455.208459
CO2,biopower,p75,2044,6082.207664
CO2,biopower,p75,2047,6308.891891
CO2,biopower,p75,2050,6061.865126
CO2,biopower,p76,2015,24.437246
CO2,biopower,p76,2020,24.437246
CO2,biopower,p76,2023,24.437246
CO2,biopower,p76,2026,24.437246
CO2,biopower,p76,2029,24.437246
CO2,biopower,p76,2032,58.255134
CO2,biopower,p76,2035,51.308391
CO2,biopower,p76,2038,51.52365
CO2,biopower,p76,2041,72.978595
CO2,biopower,p76,2044,182.56449
CO2,biopower,p76,2047,188.667553
CO2,biopower,p76,2050,180.182828
CO2,biopower,p77,2010,1169.11836
CO2,biopower,p77,2015,27.928282
CO2,biopower,p77,2020,27.928282
CO2,biopower,p77,2023,27.928282
CO2,biopower,p77,2026,27.928282
CO2,biopower,p77,2029,27.928282
CO2,biopower,p77,2032,56.714834
CO2,biopower,p77,2035,56.940799
CO2,biopower,p77,2038,62.029317
CO2,biopower,p77,2041,83.47664
CO2,biopower,p77,2044,188.162194
CO2,biopower,p77,2047,210.159426
CO2,biopower,p77,2050,198.881762
CO2,biopower,p78,2015,69.820704
CO2,biopower,p78,2020,69.820704
CO2,biopower,p78,2023,69.820704
CO2,biopower,p78,2026,69.820704
CO2,biopower,p78,2029,69.820704
CO2,biopower,p78,2032,161.528951
CO2,biopower,p78,2035,149.823414
CO2,biopower,p78,2038,151.797099
CO2,biopower,p78,2041,211.458846
CO2,biopower,p78,2044,527.669534
CO2,biopower,p78,2047,544.885316
CO2,biopower,p78,2050,514.808079
CO2,biopower,p79,2015,34.910352
CO2,biopower,p79,2020,34.910352
CO2,biopower,p79,2023,34.910352
CO2,biopower,p79,2026,34.910352
CO2,biopower,p79,2029,34.910352
CO2,biopower,p79,2032,90.398581
CO2,biopower,p79,2035,78.679329
CO2,biopower,p79,2038,82.287126
CO2,biopower,p79,2041,105.91075
CO2,biopower,p79,2044,266.483367
CO2,biopower,p79,2047,276.170468
CO2,biopower,p79,2050,263.520739
CO2,biopower,p80,2010,400.029853
CO2,biopower,p80,2015,52.365528
CO2,biopower,p80,2020,52.365528
CO2,biopower,p80,2023,114.289558
CO2,biopower,p80,2026,52.365528
CO2,biopower,p80,2029,52.365528
CO2,biopower,p80,2032,52.365528
CO2,biopower,p80,2035,52.365528
CO2,biopower,p80,2038,104.888322
CO2,biopower,p80,2041,210.232087
CO2,biopower,p80,2044,390.762386
CO2,biopower,p80,2047,443.473693
CO2,biopower,p80,2050,397.443714
CO2,biopower,p85,2010,205.240493
CO2,biopower,p85,2015,205.240493
CO2,biopower,p85,2020,205.240493
CO2,biopower,p90,2010,2736.404288
CO2,biopower,p90,2015,1603.524237
CO2,biopower,p92,2010,31.419317
CO2,biopower,p92,2015,31.419317
CO2,biopower,p92,2020,31.419317
CO2,biopower,p92,2023,31.419317
CO2,biopower,p92,2026,31.419317
CO2,biopower,p92,2029,31.419317
CO2,biopower,p92,2032,31.419317
CO2,biopower,p92,2035,31.419317
CO2,biopower,p92,2038,31.419317
CO2,biopower,p92,2041,31.419317
CO2,biopower,p92,2044,31.419317
CO2,biopower,p92,2047,31.419317
CO2,biopower,p94,2010,3848.693484
CO2,biopower,p94,2015,1274.227848
CO2,biopower,p94,2020,4163.059476
CO2,biopower,p94,2023,6720.498729
CO2,biopower,p94,2026,4163.059476
CO2,biopower,p94,2029,4163.059476
CO2,biopower,p94,2032,5555.238743
CO2,biopower,p94,2035,7607.890551
CO2,biopower,p94,2038,8387.149422
CO2,biopower,p94,2041,28086.087916
CO2,biopower,p94,2044,42386.72807
CO2,biopower,p94,2047,40483.346481
CO2,biopower,p94,2050,34920.175966
CO2,biopower,p96,2010,2905.414308
CO2,biopower,p96,2015,2499.581203
CO2,biopower,p96,2020,2499.581203
CO2,biopower,p96,2023,2499.581203
CO2,biopower,p96,2026,2499.581203
CO2,biopower,p96,2029,2499.581203
CO2,biopower,p96,2032,2499.581203
CO2,biopower,p96,2035,2499.581203
CO2,biopower,p96,2038,2618.978319
CO2,biopower,p96,2041,5477.568408
CO2,biopower,p96,2044,9195.471451
CO2,biopower,p96,2047,9577.459514
CO2,biopower,p96,2050,7910.593233
CO2,biopower,p97,2015,13.964141
CO2,biopower,p97,2020,104.731056
CO2,biopower,p97,2023,194.446022
CO2,biopower,p97,2026,104.731056
CO2,biopower,p97,2029,144.877961
CO2,biopower,p97,2032,144.877961
CO2,biopower,p97,2035,144.877961
CO2,biopower,p97,2038,234.547582
CO2,biopower,p97,2041,852.470325
CO2,biopower,p97,2044,1508.307333
CO2,biopower,p97,2047,1469.820081
CO2,biopower,p97,2050,1247.906783
CO2,biopower,p98,2010,19610.28212
CO2,biopower,p98,2015,4417.443379
CO2,biopower,p98,2020,3747.020021
CO2,biopower,p98,2023,1966.546477
CO2,biopower,p98,2026,957.229922
CO2,biopower,p98,2029,1371.503222
CO2,biopower,p98,2032,2237.262693
CO2,biopower,p98,2035,1140.858807
CO2,biopower,p98,2038,1126.93157
CO2,biopower,p98,2041,1849.315768
CO2,biopower,p98,2044,5082.17199
CO2,biopower,p98,2047,5124.495973
CO2,biopower,p98,2050,4209.335779
CO2,biopower,p99,2010,11912.735788
CO2,biopower,p99,2015,5028.6589
CO2,biopower,p99,2020,3493.365316
CO2,biopower,p99,2023,9720.803816
CO2,biopower,p99,2026,56417.243624
CO2,biopower,p101,2010,17161.474921
CO2,biopower,p101,2015,4019.861949
CO2,biopower,p101,2020,1789.15554
CO2,biopower,p101,2023,1789.15554
CO2,biopower,p101,2026,1789.15554
CO2,biopower,p101,2029,1789.15554
CO2,biopower,p101,2032,1789.15554
CO2,biopower,p101,2035,1789.15554
CO2,biopower,p101,2038,3251.61859
CO2,biopower,p101,2041,13445.175101
CO2,biopower,p101,2044,20869.889325
CO2,biopower,p101,2047,19357.495151
CO2,biopower,p101,2050,17636.795378
CO2,biopower,p102,2010,5425.327296
CO2,biopower,p102,2015,5425.327296
CO2,biopower,p102,2020,5425.327296
CO2,biopower,p102,2023,5425.327296
CO2,biopower,p102,2026,1971.453212
CO2,biopower,p102,2029,1971.453212
CO2,biopower,p102,2032,1971.453212
CO2,biopower,p102,2035,1971.453212
CO2,biopower,p102,2038,1971.453212
CO2,biopower,p102,2041,1343.468915
CO2,biopower,p102,2044,1653.881157
CO2,biopower,p102,2047,1536.360916
CO2,biopower,p102,2050,1422.253346
CO2,biopower,p103,2010,3086.17669
CO2,biopower,p103,2015,3105.253614
CO2,biopower,p103,2020,2987.489622
CO2,biopower,p103,2023,6707.499439
CO2,biopower,p103,2026,3033.017957
CO2,biopower,p103,2029,2998.062156
CO2,biopower,p103,2032,2699.797832
CO2,biopower,p103,2035,2113.894121
CO2,biopower,p103,2038,1426.883811
CO2,biopower,p103,2041,2854.705542
CO2,biopower,p103,2044,6194.513165
CO2,biopower,p103,2047,7197.999799
CO2,biopower,p103,2050,6585.369838
CO2,biopower,p111,2010,347.797718
CO2,biopower,p111,2015,347.489987
CO2,biopower,p111,2020,347.191635
CO2,biopower,p111,2023,348.874091
CO2,biopower,p111,2026,348.593899
CO2,biopower,p111,2029,347.563402
CO2,biopower,p111,2032,135.314234
CO2,biopower,p111,2035,135.314234
CO2,biopower,p111,2038,9.636967
