i,v,r,t,Value
distpv,init-1,p1,2010,5510.7144
distpv,init-1,p1,2015,37801.5672
distpv,init-1,p1,2020,127713.2232
distpv,init-1,p1,2023,211244.052
distpv,init-1,p1,2026,226809.4032
distpv,init-1,p1,2029,265674.4416
distpv,init-1,p1,2032,352782.4008
distpv,init-1,p1,2035,405569.244
distpv,init-1,p1,2038,422971.5
distpv,init-1,p1,2041,439793.6808
distpv,init-1,p1,2044,459322.8792
distpv,init-1,p1,2047,480398.9448
distpv,init-1,p1,2050,505148.82
distpv,init-1,p2,2010,1986.654
distpv,init-1,p2,2015,13672.854
distpv,init-1,p2,2020,45926.766
distpv,init-1,p2,2023,76778.334
distpv,init-1,p2,2026,83439.468
distpv,init-1,p2,2029,95593.116
distpv,init-1,p2,2032,117563.172
distpv,init-1,p2,2035,128314.476
distpv,init-1,p2,2038,134741.886
distpv,init-1,p2,2041,140935.572
distpv,init-1,p2,2044,147596.706
distpv,init-1,p2,2047,155426.46
distpv,init-1,p2,2050,164074.248
distpv,init-1,p3,2010,1331.859
distpv,init-1,p3,2015,9456.1989
distpv,init-1,p3,2020,32763.7314
distpv,init-1,p3,2023,54073.4754
distpv,init-1,p3,2026,60200.0268
distpv,init-1,p3,2029,77114.6361
distpv,init-1,p3,2032,106681.9059
distpv,init-1,p3,2035,119201.3805
distpv,init-1,p3,2038,123463.3293
distpv,init-1,p3,2041,127592.0922
distpv,init-1,p3,2044,132120.4128
distpv,init-1,p3,2047,138113.7783
distpv,init-1,p3,2050,146371.3041
distpv,init-1,p4,2010,149.7816
distpv,init-1,p4,2015,1348.0344
distpv,init-1,p4,2020,4493.448
distpv,init-1,p4,2023,7489.08
distpv,init-1,p4,2026,7788.6432
distpv,init-1,p4,2029,8687.3328
distpv,init-1,p4,2032,10035.3672
distpv,init-1,p4,2035,10185.1488
distpv,init-1,p4,2038,10334.9304
distpv,init-1,p4,2041,10634.4936
distpv,init-1,p4,2044,10784.2752
distpv,init-1,p4,2047,11083.8384
distpv,init-1,p4,2050,11233.62
distpv,init-1,p5,2010,12331.6515
distpv,init-1,p5,2015,65299.0308
distpv,init-1,p5,2020,169237.2363
distpv,init-1,p5,2023,321562.4934
distpv,init-1,p5,2026,391206.9633
distpv,init-1,p5,2029,711007.7922
distpv,init-1,p5,2032,1242090.9168
distpv,init-1,p5,2035,1196405.0841
distpv,init-1,p5,2038,1213082.1747
distpv,init-1,p5,2041,1230933.7083
distpv,init-1,p5,2044,1253365.5696
distpv,init-1,p5,2047,1282726.6446
distpv,init-1,p5,2050,1319016.9333
distpv,init-1,p6,2010,2431.0101
distpv,init-1,p6,2015,13434.5295
distpv,init-1,p6,2020,43758.1818
distpv,init-1,p6,2023,92378.3838
distpv,init-1,p6,2026,111698.5167
distpv,init-1,p6,2029,174265.0398
distpv,init-1,p6,2032,279822.0573
distpv,init-1,p6,2035,267539.0589
distpv,init-1,p6,2038,270993.6522
distpv,init-1,p6,2041,275343.8808
distpv,init-1,p6,2044,280461.7968
distpv,init-1,p6,2047,286347.4002
distpv,init-1,p6,2050,293256.5868
distpv,init-1,p7,2010,298.4658
distpv,init-1,p7,2015,1790.7948
distpv,init-1,p7,2020,4626.2199
distpv,init-1,p7,2023,8804.7411
distpv,init-1,p7,2026,9998.6043
distpv,init-1,p7,2029,17012.5506
distpv,init-1,p7,2032,29846.58
distpv,init-1,p7,2035,28801.9497
distpv,init-1,p7,2038,29249.6484
distpv,init-1,p7,2041,29995.8129
distpv,init-1,p7,2044,30741.9774
distpv,init-1,p7,2047,31935.8406
distpv,init-1,p7,2050,32980.4709
distpv,init-1,p8,2010,2176.5072
distpv,init-1,p8,2015,12592.6488
distpv,init-1,p8,2020,25340.7624
distpv,init-1,p8,2023,35601.4392
distpv,init-1,p8,2026,39643.524
distpv,init-1,p8,2029,45395.7216
distpv,init-1,p8,2032,53168.9616
distpv,init-1,p8,2035,53013.4968
distpv,init-1,p8,2038,53946.2856
distpv,init-1,p8,2041,55190.004
distpv,init-1,p8,2044,56589.1872
distpv,init-1,p8,2047,58143.8352
distpv,init-1,p8,2050,60631.272
distpv,init-1,p9,2010,355443.3108
distpv,init-1,p9,2015,2126400.1434
distpv,init-1,p9,2020,5448543.1551
distpv,init-1,p9,2023,7635771.4608
distpv,init-1,p9,2026,8337812.8239
distpv,init-1,p9,2029,9288201.8295
distpv,init-1,p9,2032,10614310.2
distpv,init-1,p9,2035,10358342.0271
distpv,init-1,p9,2038,10437541.1109
distpv,init-1,p9,2041,10552257.3096
distpv,init-1,p9,2044,10728209.9133
distpv,init-1,p9,2047,10976013.2322
distpv,init-1,p9,2050,11274166.4841
distpv,init-1,p10,2010,538935.9726
distpv,init-1,p10,2015,3289622.5704
distpv,init-1,p10,2020,9102297.0036
distpv,init-1,p10,2023,13066061.9892
distpv,init-1,p10,2026,14496982.5234
distpv,init-1,p10,2029,16299677.8248
