RPSCat,i,st,ast,t,Value
RPS_Bundled,hydEND,OR,CA,2044,673187.775088
RPS_Bundled,hydEND,OR,CA,2047,673187.775088
RPS_Bundled,hydEND,OR,CA,2050,673187.775088
RPS_Bundled,hydEND,CA,OR,2035,472018.933653
RPS_Bundled,hydEND,CA,OR,2038,1940081.442896
RPS_Bundled,hydEND,CA,OR,2041,1940081.442896
RPS_Bundled,hydEND,CA,AZ,2035,1468062.509243
RPS_Bundled,hydEND,NV,CA,2026,10637.13497
RPS_Bundled,hydEND,NV,CA,2029,10637.13497
RPS_Bundled,hydEND,NV,CA,2035,10637.13497
RPS_Bundled,hydEND,NV,CA,2038,10637.13497
RPS_Bundled,hydEND,NV,CA,2041,10637.13497
RPS_Bundled,hydEND,NV,CA,2044,10637.13497
RPS_Bundled,hydEND,NV,CA,2047,10637.13497
RPS_Bundled,hydEND,NV,CA,2050,10637.13497
RPS_Bundled,hydEND,WI,MI,2038,4928.452765
RPS_Bundled,hydEND,WI,MI,2041,4928.452765
RPS_Bundled,hydEND,WI,MI,2044,4928.452765
RPS_Bundled,hydEND,WI,MI,2047,4928.452765
RPS_Bundled,hydEND,WI,MI,2050,4928.452765
RPS_Bundled,hydEND,IL,MI,2038,106379.556
RPS_Bundled,hydEND,IL,MI,2041,106379.556
RPS_Bundled,hydEND,IL,MI,2044,106379.556
RPS_Bundled,hydEND,IL,MI,2047,106379.556
RPS_Bundled,hydEND,IL,MI,2050,106379.556
RPS_Bundled,hydEND,VA,MD,2026,337294.8408
RPS_Bundled,hydEND,VA,MD,2029,337294.8408
RPS_Bundled,hydEND,VA,MD,2032,337294.8408
RPS_Bundled,hydEND,VA,MD,2035,337294.8408
RPS_Bundled,hydEND,VA,MD,2038,337294.8408
RPS_Bundled,hydEND,VA,MD,2041,337294.8408
RPS_Bundled,hydEND,VA,MD,2044,337294.8408
RPS_Bundled,hydEND,VA,MD,2047,337294.8408
RPS_Bundled,hydEND,VA,MD,2050,337294.8408
RPS_Bundled,hydEND,PA,MD,2050,698997.721923
RPS_Bundled,hydEND,PA,NJ,2032,698997.721923
RPS_Bundled,hydEND,PA,NJ,2035,698997.721923
RPS_Bundled,hydEND,PA,NJ,2038,698997.721923
RPS_Bundled,hydEND,PA,NJ,2047,698997.721923
RPS_Bundled,hydEND,VT,NH,2041,953852.992244
RPS_Bundled,hydEND,VT,MA,2050,877837.852501
RPS_Bundled,hydEND,MA,NH,2050,805214.8272
RPS_Bundled,hydEND,ME,NH,2035,242604.579756
RPS_Bundled,geohydro_allkm_3,CA,OR,2029,433814.416187
RPS_Bundled,geohydro_allkm_9,NM,AZ,2032,62847.897
RPS_Bundled,geohydro_allkm_9,NM,AZ,2035,63347.4108
RPS_Bundled,geohydro_allkm_9,NM,AZ,2038,62737.6536
RPS_Bundled,geohydro_allkm_9,NM,AZ,2041,62124.981
CES,biopower,WA,WA,2026,26280.0
CES,biopower,OR,OR,2026,27751.68
CES,biopower,OR,OR,2029,27751.68
CES,biopower,OR,OR,2032,10088.126142
CES,biopower,OR,OR,2035,10375.434852
CES,biopower,OR,OR,2038,9855.337482
CES,biopower,OR,OR,2041,7884.0
CES,biopower,OR,OR,2044,7884.0
CES,biopower,OR,OR,2047,7884.0
CES,biopower,OR,OR,2050,7884.0
CES,biopower,CA,CA,2026,1184959.017557
CES,biopower,CA,CA,2029,995248.801031
CES,biopower,CA,CA,2032,553816.972346
CES,biopower,CA,CA,2035,465485.560404
CES,biopower,CA,CA,2038,328903.275034
CES,biopower,CA,CA,2041,253173.440311
