eall,r,t,dr,Value
CH4,p102,2020,2.0,10020844469.785599
CH4,p102,2020,1.5,14404963925.3168
CH4,p102,2023,2.5,9027978647.745481
CH4,p102,2023,2.0,11223973453.95384
CH4,p102,2023,1.5,15676962922.098572
CH4,p102,2026,2.5,8152218978.581321
CH4,p102,2026,2.0,10214828599.668161
CH4,p102,2026,1.5,13947169818.777681
CH4,p102,2029,2.5,8339315211.882482
CH4,p102,2029,2.0,10514788745.417042
CH4,p102,2029,1.5,14095255602.692673
CH4,p102,2032,2.5,9038633778.89404
CH4,p102,2032,2.0,11320230655.11972
CH4,p102,2032,1.5,14918133421.4756
CH4,p102,2035,2.5,10045360069.766
CH4,p102,2035,2.0,12447511390.797
CH4,p102,2035,1.5,16159927068.754
CH4,p102,2038,2.5,11562253391.730942
CH4,p102,2038,2.0,14202452985.11832
CH4,p102,2038,1.5,18208273057.844
CH4,p102,2041,2.5,13199279045.69782
CH4,p102,2041,2.0,16095523728.386911
CH4,p102,2041,1.5,20463630462.93439
CH4,p102,2044,2.5,15027737893.42582
CH4,p102,2044,2.0,18212424069.51606
CH4,p102,2044,1.5,23088974776.65424
CH4,p102,2047,2.5,16702026043.47632
CH4,p102,2047,2.0,20134651027.87176
CH4,p102,2047,1.5,25462904734.993042
CH4,p102,2050,2.5,16366448252.1505
CH4,p102,2050,2.0,19639737902.5806
CH4,p102,2050,1.5,24783478781.8279
CH4,p103,2020,2.5,6747255358.7517
CH4,p103,2020,2.0,8304314287.694401
CH4,p103,2020,1.5,11937451788.560701
CH4,p103,2023,2.5,6443743160.093959
CH4,p103,2023,2.0,8011140144.981679
CH4,p103,2023,1.5,11189472919.892889
CH4,p103,2026,2.5,6295792880.3685
CH4,p103,2026,2.0,7888704332.028
CH4,p103,2026,1.5,10771115530.269
CH4,p103,2029,2.5,5007583600.51528
CH4,p103,2029,2.0,6313909757.17144
CH4,p103,2029,1.5,8463904890.00137
CH4,p103,2032,2.5,4815909387.64334
CH4,p103,2032,2.0,6031575835.00962
CH4,p103,2032,1.5,7948588309.7026
CH4,p103,2035,2.5,3035846290.7216997
CH4,p103,2035,2.0,3761809534.15515
CH4,p103,2035,1.5,4883752728.5522995
CH4,p103,2038,2.5,5567584445.144119
