eall,i,r,t,Value
CO2,biopower,p33,2032,307.211098
CO2,biopower,p33,2035,307.211098
CO2,biopower,p33,2038,307.211098
CO2,biopower,p33,2041,307.211098
CO2,biopower,p33,2044,307.853238
CO2,biopower,p33,2047,219.935218
CO2,biopower,p33,2050,219.935218
CO2,biopower,p43,2010,1945.327264
CO2,biopower,p43,2015,2038.415667
CO2,biopower,p43,2020,1063.37702
CO2,biopower,p43,2023,1071.226652
CO2,biopower,p43,2026,1063.020218
CO2,biopower,p43,2029,1063.020218
CO2,biopower,p43,2032,1063.733821
CO2,biopower,p43,2035,1084.375539
CO2,biopower,p43,2038,1078.320586
CO2,biopower,p43,2041,1078.320586
CO2,biopower,p43,2044,1063.020218
CO2,biopower,p43,2047,1063.020218
CO2,biopower,p43,2050,486.99941
CO2,biopower,p46,2010,975.076924
CO2,biopower,p46,2015,941.817691
CO2,biopower,p46,2020,662.022479
CO2,biopower,p46,2023,377.851935
CO2,biopower,p46,2026,374.731053
CO2,biopower,p46,2029,389.153085
CO2,biopower,p46,2032,55.856563
CO2,biopower,p46,2035,55.856563
CO2,biopower,p46,2038,55.856563
CO2,biopower,p46,2041,55.856563
CO2,biopower,p46,2044,55.856563
CO2,biopower,p46,2047,55.856563
CO2,biopower,p46,2050,55.856563
CO2,biopower,p58,2010,238.873847
CO2,biopower,p58,2015,238.873847
CO2,biopower,p58,2020,238.873847
CO2,biopower,p58,2023,238.873847
CO2,biopower,p58,2026,82015.50592
CO2,biopower,p58,2029,168558.728174
CO2,biopower,p58,2032,53280.172666
CO2,biopower,p58,2035,19984.687319
CO2,biopower,p58,2038,30889.431645
CO2,biopower,p58,2041,12005.677624
CO2,biopower,p58,2044,12005.677624
CO2,biopower,p58,2047,12005.677624
CO2,biopower,p58,2050,12005.677624
CO2,biopower,p63,2015,1723.547202
CO2,biopower,p63,2020,872.7588
CO2,biopower,p63,2023,2108.057324
CO2,biopower,p63,2026,872.7588
CO2,biopower,p63,2029,872.7588
CO2,biopower,p63,2032,872.7588
CO2,biopower,p63,2035,872.7588
CO2,biopower,p63,2038,872.7588
CO2,biopower,p63,2041,872.7588
CO2,biopower,p63,2044,872.7588
CO2,biopower,p63,2047,872.7588
CO2,biopower,p63,2050,872.7588
CO2,biopower,p66,2015,13599.481915
CO2,biopower,p66,2020,2557.183284
CO2,biopower,p66,2023,13214.971793
CO2,biopower,p66,2026,2557.183284
CO2,biopower,p66,2029,2557.183284
CO2,biopower,p66,2032,2557.183284
CO2,biopower,p66,2035,2557.183284
CO2,biopower,p66,2038,2557.183284
CO2,biopower,p66,2041,2557.183284
CO2,biopower,p66,2044,2557.183284
CO2,biopower,p66,2047,2557.183284
CO2,biopower,p66,2050,2557.183284
CO2,biopower,p70,2015,68.409177
CO2,biopower,p70,2020,17.455176
CO2,biopower,p70,2023,75.982788
CO2,biopower,p70,2026,17.455176
CO2,biopower,p70,2029,17.455176
CO2,biopower,p70,2032,17.455176
CO2,biopower,p70,2035,17.455176
CO2,biopower,p70,2038,17.455176
CO2,biopower,p70,2041,17.455176
CO2,biopower,p70,2044,17.455176
CO2,biopower,p70,2047,17.455176
CO2,biopower,p70,2050,17.455176
CO2,biopower,p74,2010,337.172978
CO2,biopower,p74,2015,337.172978
CO2,biopower,p74,2020,337.172978
CO2,biopower,p74,2023,337.172978
CO2,biopower,p74,2026,337.172978
CO2,biopower,p74,2029,337.172978
CO2,biopower,p75,2010,768.027744
CO2,biopower,p75,2015,3334.586936
CO2,biopower,p75,2020,1590.166534
CO2,biopower,p75,2023,3652.697882
CO2,biopower,p75,2026,1590.166534
CO2,biopower,p75,2029,1590.166534
CO2,biopower,p75,2032,822.13879
CO2,biopower,p75,2035,822.13879
CO2,biopower,p75,2038,822.13879
CO2,biopower,p75,2041,822.13879
CO2,biopower,p75,2044,822.13879
CO2,biopower,p75,2047,822.13879
CO2,biopower,p75,2050,822.13879
CO2,biopower,p76,2015,101.415984
CO2,biopower,p76,2020,24.437246
CO2,biopower,p76,2023,114.13049
CO2,biopower,p76,2026,24.437246
CO2,biopower,p76,2029,24.437246
CO2,biopower,p76,2032,24.437246
CO2,biopower,p76,2035,24.437246
CO2,biopower,p76,2038,24.437246
CO2,biopower,p76,2041,24.437246
CO2,biopower,p76,2044,24.437246
CO2,biopower,p76,2047,24.437246
CO2,biopower,p76,2050,24.437246
CO2,biopower,p77,2010,1169.11836
CO2,biopower,p77,2015,121.40276
CO2,biopower,p77,2020,27.928282
CO2,biopower,p77,2023,125.33259
CO2,biopower,p77,2026,27.928282
CO2,biopower,p77,2029,27.928282
CO2,biopower,p77,2032,27.928282
CO2,biopower,p77,2035,27.928282
CO2,biopower,p77,2038,27.928282
CO2,biopower,p77,2041,27.928282
CO2,biopower,p77,2044,27.928282
CO2,biopower,p77,2047,27.928282
CO2,biopower,p77,2050,27.928282
CO2,biopower,p78,2015,303.506899
CO2,biopower,p78,2020,69.820704
CO2,biopower,p78,2023,315.086989
CO2,biopower,p78,2026,69.820704
CO2,biopower,p78,2029,69.820704
CO2,biopower,p78,2032,69.820704
CO2,biopower,p78,2035,69.820704
CO2,biopower,p78,2038,69.820704
CO2,biopower,p78,2041,69.820704
CO2,biopower,p78,2044,69.820704
CO2,biopower,p78,2047,69.820704
CO2,biopower,p78,2050,69.820704
CO2,biopower,p79,2015,132.767969
CO2,biopower,p79,2020,34.910352
CO2,biopower,p79,2023,160.38467
CO2,biopower,p79,2026,34.910352
CO2,biopower,p79,2029,34.910352
CO2,biopower,p79,2032,34.910352
CO2,biopower,p79,2035,34.910352
CO2,biopower,p79,2038,34.910352
CO2,biopower,p79,2041,34.910352
CO2,biopower,p79,2044,34.910352
CO2,biopower,p79,2047,34.910352
CO2,biopower,p79,2050,34.910352
CO2,biopower,p80,2010,571.51542
CO2,biopower,p80,2015,285.728907
CO2,biopower,p80,2020,52.365528
CO2,biopower,p80,2023,130.500426
CO2,biopower,p80,2026,52.365528
CO2,biopower,p80,2029,52.365528
CO2,biopower,p80,2032,52.365528
CO2,biopower,p80,2035,52.365528
CO2,biopower,p80,2038,52.365528
CO2,biopower,p80,2041,52.365528
CO2,biopower,p80,2044,52.365528
CO2,biopower,p80,2047,52.365528
CO2,biopower,p80,2050,52.365528
CO2,biopower,p85,2010,205.240493
CO2,biopower,p85,2015,205.240493
CO2,biopower,p85,2020,205.240493
CO2,biopower,p90,2010,2931.635832
CO2,biopower,p90,2015,1603.524237
CO2,biopower,p92,2010,31.419317
CO2,biopower,p92,2015,31.419317
CO2,biopower,p92,2020,31.419317
CO2,biopower,p92,2023,31.419317
CO2,biopower,p92,2026,31.419317
CO2,biopower,p92,2029,31.419317
CO2,biopower,p92,2032,31.419317
CO2,biopower,p92,2035,31.419317
CO2,biopower,p92,2038,31.419317
CO2,biopower,p92,2041,31.419317
CO2,biopower,p92,2044,31.419317
CO2,biopower,p92,2047,31.419317
CO2,biopower,p94,2010,4411.246283
CO2,biopower,p94,2015,12991.937151
CO2,biopower,p94,2020,4163.059476
CO2,biopower,p94,2023,33634.149972
CO2,biopower,p94,2026,4163.059476
CO2,biopower,p94,2029,4163.059476
CO2,biopower,p94,2032,4163.059476
CO2,biopower,p94,2035,4163.059476
CO2,biopower,p94,2038,4163.059476
CO2,biopower,p94,2041,4163.059476
CO2,biopower,p94,2044,4163.059476
CO2,biopower,p94,2047,4163.059476
CO2,biopower,p94,2050,4163.059476
CO2,biopower,p96,2010,2905.414308
CO2,biopower,p96,2015,7904.883296
CO2,biopower,p96,2020,2789.930552
CO2,biopower,p96,2023,9926.895844
CO2,biopower,p96,2026,2499.581203
CO2,biopower,p96,2029,2499.581203
CO2,biopower,p96,2032,2499.581203
CO2,biopower,p96,2035,2499.581203
CO2,biopower,p96,2038,2499.581203
CO2,biopower,p96,2041,2499.581203
CO2,biopower,p96,2044,1015.891243
CO2,biopower,p96,2047,1015.891243
CO2,biopower,p96,2050,1015.891243
CO2,biopower,p97,2015,77.63283
CO2,biopower,p97,2020,104.731056
CO2,biopower,p97,2023,513.677583
CO2,biopower,p97,2026,104.731056
CO2,biopower,p97,2029,104.731056
CO2,biopower,p97,2032,104.731056
CO2,biopower,p97,2035,104.731056
CO2,biopower,p97,2038,104.731056
CO2,biopower,p97,2041,104.731056
CO2,biopower,p97,2044,104.731056
CO2,biopower,p97,2047,104.731056
CO2,biopower,p97,2050,104.731056
CO2,biopower,p98,2010,19181.135686
CO2,biopower,p98,2015,4403.069967
CO2,biopower,p98,2020,3704.598961
CO2,biopower,p98,2023,1601.139721
CO2,biopower,p98,2026,919.606915
CO2,biopower,p98,2029,922.66693
CO2,biopower,p98,2032,924.065202
CO2,biopower,p98,2035,29.673799
CO2,biopower,p98,2038,29.673799
CO2,biopower,p98,2041,29.673799
CO2,biopower,p98,2044,29.673799
CO2,biopower,p98,2047,29.673799
CO2,biopower,p98,2050,29.673799
CO2,biopower,p99,2010,10673.340022
CO2,biopower,p99,2015,8924.798055
CO2,biopower,p99,2020,3443.906225
CO2,biopower,p99,2023,15891.329803
CO2,biopower,p99,2026,56410.751759
CO2,biopower,p101,2010,17229.96538
CO2,biopower,p101,2015,13590.341513
CO2,biopower,p101,2020,3052.121416
CO2,biopower,p101,2023,25119.596891
CO2,biopower,p101,2026,1789.15554
CO2,biopower,p101,2029,1789.15554
CO2,biopower,p101,2032,1789.15554
CO2,biopower,p101,2035,1789.15554
CO2,biopower,p101,2038,1789.15554
CO2,biopower,p101,2041,1789.15554
CO2,biopower,p101,2044,1789.15554
CO2,biopower,p101,2047,1789.15554
CO2,biopower,p101,2050,1789.15554
CO2,biopower,p102,2010,5425.327296
CO2,biopower,p102,2015,5425.327296
CO2,biopower,p102,2020,5425.327296
CO2,biopower,p102,2023,5425.327296
CO2,biopower,p102,2026,1971.466635
CO2,biopower,p102,2029,1971.466635
CO2,biopower,p102,2032,1971.466635
CO2,biopower,p102,2035,1971.466635
CO2,biopower,p102,2038,1971.466635
CO2,biopower,p102,2041,664.073953
CO2,biopower,p102,2044,664.073953
CO2,biopower,p102,2047,664.073953
CO2,biopower,p102,2050,664.073953
CO2,biopower,p103,2010,3073.773069
CO2,biopower,p103,2015,3051.724618
CO2,biopower,p103,2020,2967.998489
CO2,biopower,p103,2023,10174.569548
CO2,biopower,p103,2026,2967.37992
CO2,biopower,p103,2029,2967.821126
CO2,biopower,p103,2032,2658.864511
CO2,biopower,p103,2035,2124.471434
CO2,biopower,p103,2038,1426.883811
CO2,biopower,p103,2041,815.156719
CO2,biopower,p103,2044,815.156719
CO2,biopower,p103,2047,815.156719
CO2,biopower,p103,2050,815.156719
CO2,biopower,p111,2010,347.410541
CO2,biopower,p111,2015,347.394497
CO2,biopower,p111,2020,347.08666
CO2,biopower,p111,2023,349.490047
CO2,biopower,p111,2026,346.765776
CO2,biopower,p111,2029,346.733687
CO2,biopower,p111,2032,135.315155
CO2,biopower,p111,2035,135.315155
CO2,biopower,p111,2038,9.637888
CO2,biopower,p111,2041,9.637888
CO2,biopower,p111,2044,9.637888
CO2,biopower,p111,2047,9.637888
CO2,biopower,p111,2050,9.637888
CO2,biopower,p112,2015,452.764815
CO2,biopower,p112,2020,41.892422
CO2,biopower,p112,2023,459.758162
CO2,biopower,p112,2026,41.892422
CO2,biopower,p112,2029,41.892422
CO2,biopower,p112,2032,41.892422
CO2,biopower,p112,2035,41.892422
CO2,biopower,p112,2038,41.892422
CO2,biopower,p112,2041,41.892422
CO2,biopower,p112,2044,41.892422
CO2,biopower,p112,2047,41.892422
CO2,biopower,p112,2050,41.892422
CO2,biopower,p115,2026,78667.225386
CO2,biopower,p115,2029,5603.111496
CO2,biopower,p115,2032,5603.111496
CO2,biopower,p115,2035,5603.111496
CO2,biopower,p115,2038,5603.111496
CO2,biopower,p115,2041,5603.111496
CO2,biopower,p115,2044,5603.111496
CO2,biopower,p115,2047,5603.111496
CO2,biopower,p115,2050,5603.111496
CO2,biopower,p117,2026,59874.463085
CO2,biopower,p117,2029,39463.691617
CO2,biopower,p117,2032,4264.587835
CO2,biopower,p117,2035,4264.587835
CO2,biopower,p117,2038,4264.587835
CO2,biopower,p117,2041,4264.587835
CO2,biopower,p117,2044,4264.587835
CO2,biopower,p117,2047,4264.587835
CO2,biopower,p117,2050,4264.587835
CO2,biopower,p118,2026,78667.225386
CO2,biopower,p121,2026,7153.417782
CO2,biopower,p121,2029,509.50567
CO2,biopower,p121,2032,509.50567
CO2,biopower,p121,2035,509.50567
CO2,biopower,p121,2038,509.50567
CO2,biopower,p121,2041,509.50567
CO2,biopower,p121,2044,509.50567
CO2,biopower,p121,2047,509.50567
CO2,biopower,p121,2050,509.50567
CO2,biopower,z122,2010,659.382755
CO2,biopower,z122,2015,326.411791
CO2,biopower,z122,2020,43.63794
CO2,biopower,z122,2023,91.138037
CO2,biopower,z122,2026,612.673095
CO2,biopower,z122,2029,43.63794
CO2,biopower,z122,2032,43.63794
CO2,biopower,z122,2035,43.63794
CO2,biopower,z122,2038,43.63794
CO2,biopower,z122,2041,43.63794
CO2,biopower,z122,2044,43.63794
CO2,biopower,z122,2047,43.63794
CO2,biopower,z122,2050,43.63794
CO2,biopower,p123,2010,36.055109
CO2,biopower,p123,2015,36.055109
CO2,biopower,p123,2020,36.055109
CO2,biopower,p123,2023,36.055109
CO2,biopower,p123,2026,72019.189924
CO2,biopower,p123,2029,5125.025142
CO2,biopower,p123,2032,5125.025142
CO2,biopower,p123,2035,5125.025142
CO2,biopower,p123,2038,5125.025142
CO2,biopower,p123,2041,5125.049221
CO2,biopower,p123,2044,5125.049221
CO2,biopower,p123,2047,5125.025142
CO2,biopower,p123,2050,5125.025142
CO2,biopower,p125,2026,64711.951273
CO2,biopower,p125,2029,22155.325121
CO2,biopower,p125,2032,5603.111496
CO2,biopower,p125,2035,5603.111496
CO2,biopower,p125,2038,5603.111496
CO2,biopower,p125,2041,5603.111496
CO2,biopower,p125,2044,5603.111496
CO2,biopower,p125,2047,5603.111496
CO2,biopower,p125,2050,5603.111496
CO2,biopower,p126,2026,78667.225386
CO2,biopower,p126,2029,5603.111496
CO2,biopower,p126,2032,5603.111496
CO2,biopower,p126,2035,5603.111496
CO2,biopower,p126,2038,5603.111496
CO2,biopower,p126,2041,5603.111496
CO2,biopower,p126,2044,5603.111496
CO2,biopower,p126,2047,5603.111496
CO2,biopower,p126,2050,5603.111496
CO2,biopower,p127,2010,3190.919582
CO2,biopower,p127,2015,3185.963703
CO2,biopower,p127,2020,1324.217664
CO2,biopower,p127,2023,1324.217664
CO2,biopower,p127,2026,23325.540549
CO2,biopower,p127,2029,1291.683024
CO2,biopower,p127,2032,1291.683024
CO2,biopower,p127,2035,331.648344
CO2,biopower,p127,2038,331.648344
CO2,biopower,p127,2041,331.648344
CO2,biopower,p127,2044,331.648344
CO2,biopower,p127,2047,331.648344
CO2,biopower,p127,2050,331.648344
CO2,biopower,p129,2010,1460.932847
CO2,biopower,p129,2015,1373.112302
CO2,biopower,p129,2020,1389.526618
CO2,biopower,p129,2023,1389.526618
CO2,biopower,p129,2026,1284.057619
CO2,biopower,p129,2029,356.682672
CO2,biopower,p129,2032,356.682672
CO2,biopower,p129,2035,356.682672
CO2,biopower,p130,2010,2490.513575
CO2,biopower,p130,2015,5643.962828
CO2,biopower,p130,2020,3663.841442
CO2,biopower,p130,2023,8959.837869
CO2,biopower,p130,2026,39287.646361
CO2,biopower,p130,2029,6375.195544
CO2,biopower,p130,2032,1474.962372
CO2,biopower,p130,2035,1178.22438
CO2,biopower,p130,2038,1178.22438
CO2,biopower,p130,2041,1178.22438
CO2,biopower,p130,2044,1178.22438
CO2,biopower,p130,2047,1178.22438
CO2,biopower,p130,2050,1178.22438
CO2,biopower,p131,2010,600.187631
CO2,biopower,p131,2015,366.44874
CO2,biopower,p131,2020,366.44874
CO2,biopower,p131,2023,366.44874
CO2,biopower,p131,2026,83825.400559
CO2,biopower,p131,2029,78667.225386
CO2,biopower,p131,2032,5863.193618
CO2,biopower,p131,2035,5863.193618
CO2,biopower,p131,2038,5603.111496
CO2,biopower,p131,2041,5603.111496
CO2,biopower,p131,2044,5603.111496
CO2,biopower,p131,2047,5603.111496
CO2,biopower,p131,2050,5603.111496
CO2,biopower,p132,2010,607.941547
CO2,biopower,p132,2015,5821.783873
CO2,biopower,p132,2020,654.5691
CO2,biopower,p132,2023,5343.954716
CO2,biopower,p132,2026,45950.482118
CO2,biopower,p132,2029,43305.561892
CO2,biopower,p132,2032,3272.8455
CO2,biopower,p132,2035,3272.8455
CO2,biopower,p132,2038,3272.8455
CO2,biopower,p132,2041,3272.8455
CO2,biopower,p132,2044,3272.8455
CO2,biopower,p132,2047,3272.8455
CO2,biopower,p132,2050,3272.8455
CO2,biopower,p133,2020,55.856563
CO2,biopower,p133,2023,540.902837
CO2,biopower,p133,2026,2419.654833
CO2,biopower,p133,2029,2398.957619
CO2,biopower,p133,2032,172.341096
CO2,biopower,p133,2035,172.341096
CO2,biopower,p133,2038,172.341096
CO2,biopower,p133,2041,172.341096
CO2,biopower,p133,2044,172.341096
CO2,biopower,p133,2047,172.341096
CO2,biopower,p133,2050,172.341096
CO2,biopower,p134,2010,5807.337055
CO2,biopower,p134,2015,5231.316247
CO2,biopower,p134,2020,3932.651153
CO2,biopower,p134,2023,3932.651153
CO2,biopower,p134,2026,19637.407194
CO2,biopower,p134,2029,3932.651153
CO2,biopower,p134,2032,3223.971007
CO2,biopower,p134,2035,935.597434
CO2,biopower,p134,2038,272.300746
CO2,biopower,p134,2041,272.300746
CO2,biopower,p134,2044,272.300746
CO2,biopower,p134,2047,272.300746
CO2,biopower,p134,2050,272.300746
CO2,beccs_mod,p9,2047,-682109.633556
CO2,beccs_mod,p9,2050,-682109.633556
CO2,beccs_mod,p10,2044,-49890.300331
CO2,beccs_mod,p10,2047,-49890.300331
CO2,beccs_mod,p10,2050,-269036.637869
CO2,beccs_mod,p58,2050,-3607249.712132
CO2,beccs_mod,p75,2050,-4919925.639996
CO2,beccs_mod,p80,2050,-2050076.396971
CO2,beccs_mod,p103,2044,-3292959.105352
CO2,beccs_mod,p103,2047,-5895637.331558
CO2,beccs_mod,p103,2050,-5907597.604711
CO2,beccs_mod,p118,2032,0.0
CO2,beccs_mod,p125,2041,-138448.785632
CO2,beccs_mod,p125,2044,-138447.545339
CO2,beccs_mod,p125,2047,-261227.697288
CO2,beccs_mod,p125,2050,-359576.444088
CO2,coal-CCS_mod,p74,2050,0.0
CO2,coal-CCS_mod,p130,2050,-0.0
CO2,Coal-IGCC,p47,2047,-0.0
CO2,Coal-IGCC,p101,2010,1291870.926859
CO2,Coal-IGCC,p101,2015,1290362.297857
CO2,Coal-IGCC,p101,2020,320179.97565
CO2,Coal-IGCC,p101,2023,1291870.926859
CO2,Coal-IGCC,p101,2026,1291423.883328
CO2,Coal-IGCC,p101,2029,1290971.123127
CO2,Coal-IGCC,p101,2032,1272799.889741
CO2,Coal-IGCC,p101,2035,1104074.302621
CO2,Coal-IGCC,p101,2038,1103611.252416
CO2,Coal-IGCC,p101,2041,1173006.195681
CO2,Coal-IGCC,p101,2044,1078272.243132
CO2,Coal-IGCC,p101,2047,1021766.655816
CO2,Coal-IGCC,p101,2050,895077.460565
CO2,Coal-IGCC,p105,2010,1752701.088595
CO2,Coal-IGCC,p105,2015,1229817.108574
CO2,Coal-IGCC,p105,2020,82943.505317
CO2,Coal-IGCC,p105,2023,1194721.983988
CO2,Coal-IGCC,p105,2026,1025878.029815
CO2,Coal-IGCC,p105,2029,418435.139708
CO2,Coal-IGCC,p105,2032,369024.794167
CO2,Coal-IGCC,p105,2035,301196.564743
CO2,Coal-IGCC,p105,2038,301152.922825
CO2,Coal-IGCC,p105,2041,301196.564743
CO2,Coal-IGCC,p105,2044,301195.138797
CO2,Coal-IGCC,p105,2047,297719.453698
CO2,Coal-IGCC,p105,2050,297726.727351
CO2,Coal-IGCC,p107,2015,294778.368612
CO2,Coal-IGCC,p107,2020,294778.368612
CO2,Coal-IGCC,p107,2023,1111184.595438
CO2,Coal-IGCC,p107,2026,294778.368612
CO2,Coal-IGCC,p107,2029,294778.368612
CO2,Coal-IGCC,p107,2032,294778.368612
CO2,coal-new,p12,2010,1626329.243738
CO2,coal-new,p12,2015,1611500.268237
CO2,coal-new,p12,2020,1475068.544124
CO2,coal-new,p12,2023,1625497.111839
CO2,coal-new,p12,2026,1436196.277739
CO2,coal-new,p12,2029,1352330.640548
CO2,coal-new,p12,2032,1393005.754522
CO2,coal-new,p12,2035,1345556.74011
CO2,coal-new,p12,2038,1282736.53945
CO2,coal-new,p12,2041,1258110.912858
CO2,coal-new,p12,2044,1074514.667379
CO2,coal-new,p12,2047,1089343.984629
CO2,coal-new,p12,2050,1079159.797038
CO2,coal-new,p13,2010,4987364.861122
CO2,coal-new,p13,2015,2035622.540179
CO2,coal-new,p18,2010,72592.378337
CO2,coal-new,p18,2015,72592.378337
CO2,coal-new,p18,2020,72592.378337
CO2,coal-new,p18,2023,72592.378337
CO2,coal-new,p18,2026,72592.378337
CO2,coal-new,p20,2010,4681106.133456
CO2,coal-new,p20,2015,1607504.849736
CO2,coal-new,p23,2010,2275716.504911
CO2,coal-new,p23,2015,356312.89926
CO2,coal-new,p23,2020,356312.89926
CO2,coal-new,p23,2023,356312.89926
CO2,coal-new,p23,2026,356312.89926
CO2,coal-new,p23,2029,276340.900957
CO2,coal-new,p23,2032,712930.558166
CO2,coal-new,p23,2035,669043.744263
CO2,coal-new,p23,2038,663318.449065
CO2,coal-new,p23,2041,737248.809357
CO2,coal-new,p23,2044,716684.434274
CO2,coal-new,p23,2047,757391.264957
CO2,coal-new,p23,2050,741013.764762
CO2,coal-new,p28,2010,17872785.289507
CO2,coal-new,p28,2015,17610290.095318
CO2,coal-new,p29,2010,6214335.32184
CO2,coal-new,p29,2015,3372739.848449
CO2,coal-new,p29,2020,3489750.235104
CO2,coal-new,p29,2023,6214335.32184
CO2,coal-new,p29,2026,6120568.779902
CO2,coal-new,p29,2029,5961816.202744
CO2,coal-new,p29,2032,5709613.070776
CO2,coal-new,p29,2035,5389980.171095
CO2,coal-new,p29,2038,4701136.702313
CO2,coal-new,p29,2041,4912133.033741
CO2,coal-new,p29,2044,4370158.645734
