eall,r,t,dr,Value
CH4,p101,2047,2.5,35524454207.55082
CH4,p101,2047,2.0,42825492342.231514
CH4,p101,2047,1.5,54158447058.75079
CH4,p101,2050,2.5,39455128608.651
CH4,p101,2050,2.0,47346154330.3812
CH4,p101,2050,1.5,59746337607.3858
CH4,p102,2020,2.5,8141936131.7008
CH4,p102,2020,2.0,10020844469.785599
CH4,p102,2020,1.5,14404963925.3168
CH4,p102,2023,2.5,9027978647.745481
CH4,p102,2023,2.0,11223973453.95384
CH4,p102,2023,1.5,15676962922.098572
CH4,p102,2026,2.5,8152218978.581321
CH4,p102,2026,2.0,10214828599.668161
CH4,p102,2026,1.5,13947169818.777681
CH4,p102,2029,2.5,8339623046.1696005
CH4,p102,2029,2.0,10515176884.3008
CH4,p102,2029,1.5,14095775909.558401
CH4,p102,2032,2.5,9541652004.16816
CH4,p102,2032,2.0,11950224354.734879
CH4,p102,2032,1.5,15748357676.7824
CH4,p102,2035,2.5,11445638050.6964
CH4,p102,2035,2.0,14182638454.1238
CH4,p102,2035,1.5,18412548168.5116
CH4,p102,2038,2.5,13704573620.33058
CH4,p102,2038,2.0,16833964447.02024
CH4,p102,2038,1.5,21582005701.308002
CH4,p102,2041,2.5,15794883371.335562
CH4,p102,2041,2.0,19260667132.671783
CH4,p102,2041,1.5,24487750838.293625
CH4,p102,2044,2.5,18371277914.743618
CH4,p102,2044,2.0,22264528863.56346
CH4,p102,2044,1.5,28226069378.94384
CH4,p102,2047,2.5,20750743235.397903
CH4,p102,2047,2.0,25015466538.378452
CH4,p102,2047,1.5,31635335545.990055
CH4,p102,2050,2.5,21769565876.114002
CH4,p102,2050,2.0,26123479051.336803
CH4,p102,2050,1.5,32965342612.401203
CH4,p103,2020,2.5,6747255358.7517
CH4,p103,2020,2.0,8304314287.694401
CH4,p103,2020,1.5,11937451788.560701
CH4,p103,2023,2.5,6482720929.08152
CH4,p103,2023,2.0,8059598992.91216
CH4,p103,2023,1.5,11257157289.01318
CH4,p103,2026,2.5,6336682495.6295
