RPSCat,st,t,Value
RPS_All,PA,2026,1596208.181449
RPS_All,MD,2026,897517.118531
RPS_All,DE,2026,604961.652879
RPS_All,NJ,2026,1522213.644103
RPS_All,NY,2026,7450822.454916
RPS_All,NY,2029,9943091.048314
RPS_All,VT,2026,999476.118171
RPS_All,VT,2029,1039072.609559
RPS_All,NH,2026,342811.600474
RPS_All,NH,2029,334472.637994
RPS_All,MA,2026,1335493.349604
RPS_All,CT,2026,390581.74408
RPS_All,CT,2029,481753.415204
RPS_All,RI,2026,242659.581285
RPS_All,RI,2029,461516.315388
RPS_All,ME,2026,767990.040264
CES,VT,2041,1509828.338903
CES,VT,2044,1556577.587171
CES,VT,2047,1603957.311503
CES,VT,2050,1695582.396305
CES,CT,2041,991598.607427
CES,CT,2044,523078.844831
CES,CT,2047,340424.97598
CES,CT,2050,227534.772052
RPS_Wind,MD,2026,262720.701403
RPS_Wind,MD,2029,408848.268443
