eall,r,t,dr,Value
CH4,p102,2038,1.5,21518886212.095997
CH4,p102,2041,2.5,15660530279.999182
CH4,p102,2041,2.0,19096833686.761593
CH4,p102,2041,1.5,24279455218.27211
CH4,p102,2044,2.5,18166087378.404522
CH4,p102,2044,2.0,22015854240.05316
CH4,p102,2044,1.5,27910809746.95264
CH4,p102,2047,2.5,20433764848.13736
CH4,p102,2047,2.0,24633342286.25148
CH4,p102,2047,1.5,31152089354.36892
CH4,p102,2050,2.5,22872743479.677002
CH4,p102,2050,2.0,27447292175.6124
CH4,p102,2050,1.5,34635868697.7966
CH4,p103,2020,2.5,6763502577.7124
CH4,p103,2020,2.0,8324310864.876801
CH4,p103,2020,1.5,11966196868.2604
CH4,p103,2023,2.5,6455673084.41888
CH4,p103,2023,2.0,8025971942.79104
CH4,p103,2023,1.5,11210189072.26792
CH4,p103,2026,2.5,5733270547.77056
CH4,p103,2026,2.0,7183857071.90528
CH4,p103,2026,1.5,9808727925.10144
CH4,p103,2029,2.5,4827796131.545199
CH4,p103,2029,2.0,6087221209.3396
CH4,p103,2029,1.5,8160024983.209549
CH4,p103,2032,2.5,6768726418.881741
CH4,p103,2032,2.0,8477336971.22082
CH4,p103,2032,1.5,11171684380.6786
CH4,p103,2035,2.5,8367811391.284801
CH4,p103,2035,2.0,10368809767.4616
CH4,p103,2035,1.5,13461261803.3712
CH4,p103,2038,2.5,11214501247.92496
CH4,p103,2038,2.0,13775292871.46688
CH4,p103,2038,1.5,17660631886.496
CH4,p103,2041,2.5,14365746015.00894
CH4,p103,2041,2.0,17517942083.05047
CH4,p103,2041,1.5,22272073857.801632
CH4,p103,2044,2.5,16466940950.729677
CH4,p103,2044,2.0,19956623801.215435
CH4,p103,2044,1.5,25300200666.021755
CH4,p103,2047,2.5,20320791429.310577
CH4,p103,2047,2.0,24497150404.04619
CH4,p103,2047,1.5,30979856872.292507
CH4,p103,2050,2.5,25296769847.107502
CH4,p103,2050,2.0,30356123816.529
CH4,p103,2050,1.5,38306537197.0485
CH4,p104,2020,2.5,734587978.2657
CH4,p104,2020,2.0,904108280.9424
CH4,p104,2020,1.5,1299655653.8547
CH4,p104,2023,2.5,952342989.7199199
CH4,p104,2023,2.0,1183993987.2193599
CH4,p104,2023,1.5,1653730732.1487799
CH4,p104,2026,2.5,884213892.7348201
CH4,p104,2026,2.0,1107930660.7761602
CH4,p104,2026,1.5,1512751479.1366801
CH4,p104,2029,2.5,605690442.0764
CH4,p104,2029,2.0,763696644.3572
CH4,p104,2029,1.5,1023748518.94435
CH4,p104,2032,2.5,482346990.00444007
CH4,p104,2032,2.0,604104482.6269201
CH4,p104,2032,1.5,796106682.5316001
CH4,p104,2035,2.5,660965047.9768
CH4,p104,2035,2.0,819021907.2756
CH4,p104,2035,1.5,1063291598.9192001
CH4,p104,2038,2.5,573394802.2683
CH4,p104,2038,2.0,704327473.6524
CH4,p104,2038,1.5,902983940.58
CH4,p104,2041,2.5,763736879.1135199
CH4,p104,2041,2.0,931319431.7247599
CH4,p104,2041,1.5,1184066888.12204
CH4,p104,2044,2.5,785193077.1483
CH4,p104,2044,2.0,951591610.0539001
CH4,p104,2044,1.5,1206389363.5656002
CH4,p104,2047,2.5,1114728178.8224797
CH4,p104,2047,2.0,1343828755.45164
CH4,p104,2047,1.5,1699447560.9655597
CH4,p104,2050,2.5,1354307651.5219998
CH4,p104,2050,2.0,1625169181.8263998
CH4,p104,2050,1.5,2050808729.4476
CH4,p105,2020,2.5,2839496851.1884003
CH4,p105,2020,2.0,3494765355.3088
CH4,p105,2020,1.5,5023725198.2564
CH4,p105,2023,2.5,2418825629.85364
CH4,p105,2023,2.0,3007188620.89912
CH4,p105,2023,1.5,4200258019.40801
CH4,p105,2026,2.5,2532451347.54048
CH4,p105,2026,2.0,3173192049.9302397
CH4,p105,2026,1.5,4332627606.63552
CH4,p105,2029,2.5,2684838297.47
CH4,p105,2029,2.0,3385230896.81
CH4,p105,2029,1.5,4537960383.22375
CH4,p105,2032,2.5,2772848539.03278
CH4,p105,2032,2.0,3472790888.6915402
CH4,p105,2032,1.5,4576546132.3842
CH4,p105,2035,2.5,3188087660.8183
CH4,p105,2035,2.0,3950456449.27485
CH4,p105,2035,1.5,5128662758.7077
CH4,p105,2038,2.5,3041606955.37438
CH4,p105,2038,2.0,3736147126.28664
CH4,p105,2038,1.5,4789932213.188
CH4,p105,2041,2.5,3544757261.9005604
CH4,p105,2041,2.0,4322563711.45428
CH4,p105,2041,1.5,5495648848.48612
CH4,p105,2044,2.5,4503321456.957
CH4,p105,2044,2.0,5457667725.981
CH4,p105,2044,1.5,6919010450.424
CH4,p105,2047,2.5,6059708272.675119
CH4,p105,2047,2.0,7305108439.14516
CH4,p105,2047,1.5,9238266906.50164
CH4,p105,2050,2.5,7485718964.258499
CH4,p105,2050,2.0,8982862757.110199
CH4,p105,2050,1.5,11335517288.734299
CH4,p106,2020,2.5,943783187.1988001
CH4,p106,2020,2.0,1161579307.3216
CH4,p106,2020,1.5,1669770254.2748
CH4,p106,2023,2.5,173772762.33984
CH4,p106,2023,2.0,216041812.63871998
CH4,p106,2023,1.5,301754053.52256
CH4,p106,2026,2.5,138486664.99796
CH4,p106,2026,2.0,173525459.75648
CH4,p106,2026,1.5,236928993.12904
CH4,p106,2029,2.5,142013465.79624
CH4,p106,2029,2.0,179060456.87352
CH4,p106,2029,1.5,240033629.68821
CH4,p106,2032,2.5,791427772.54394
CH4,p106,2032,2.0,991205656.87542
CH4,p106,2032,1.5,1306240012.9366
CH4,p106,2035,2.5,1106793676.4343998
CH4,p106,2035,2.0,1371461729.4947999
CH4,p106,2035,1.5,1780494175.1336
CH4,p106,2038,2.5,3674405708.2935205
CH4,p106,2038,2.0,4513443232.234561
CH4,p106,2038,1.5,5786465682.352001
CH4,p106,2041,2.5,4037787814.10222
CH4,p106,2041,2.0,4923777226.54911
CH4,p106,2041,1.5,6260023553.51819
CH4,p106,2044,2.5,4808513597.09894
CH4,p106,2044,2.0,5827536346.15302
CH4,p106,2044,1.5,7387914930.642079
CH4,p106,2047,2.5,5549426375.117021
CH4,p106,2047,2.0,6689952654.66561
CH4,p106,2047,1.5,8460321805.00969
CH4,p106,2050,2.5,6885944354.268001
CH4,p106,2050,2.0,8263133225.1216
CH4,p106,2050,1.5,10427287165.0344
CH4,p107,2020,2.5,2673937777.6722
CH4,p107,2020,2.0,3291000341.7504
CH4,p107,2020,1.5,4730812991.2662
CH4,p107,2023,2.5,4905237662.68876
CH4,p107,2023,2.0,6098403580.6400795
CH4,p107,2023,1.5,8517878914.26359
CH4,p107,2026,2.5,3846432375.70054
CH4,p107,2026,2.0,4819626109.31152
CH4,p107,2026,1.5,6580643341.55996
CH4,p107,2029,2.5,2919692392.6104
CH4,p107,2029,2.0,3681351277.6392
CH4,p107,2029,1.5,4934914859.2491
CH4,p107,2032,2.5,4536983999.38462
CH4,p107,2032,2.0,5682242096.31666
CH4,p107,2032,1.5,7488226018.4018
CH4,p107,2035,2.5,5731423172.9341
CH4,p107,2035,2.0,7101980888.20095
CH4,p107,2035,1.5,9220115539.0679
CH4,p107,2038,2.5,6170739682.9307995
CH4,p107,2038,2.0,7579806224.702399
CH4,p107,2038,1.5,9717700288.08
CH4,p107,2041,2.5,7224655287.18532
CH4,p107,2041,2.0,8809921375.380661
CH4,p107,2041,1.5,11200814492.00314
CH4,p107,2044,2.5,7644509994.32616
