i,v,r,t,Value
distpv,init-1,p11,2047,20.727273
distpv,init-1,p11,2050,24.909091
distpv,init-1,p12,2015,17.454545
distpv,init-1,p12,2020,26.181818
distpv,init-1,p12,2023,18.181818
distpv,init-1,p12,2026,10.818182
distpv,init-1,p12,2029,24.363636
distpv,init-1,p12,2032,32.181818
distpv,init-1,p12,2035,9.363636
distpv,init-1,p12,2038,5.090909
distpv,init-1,p12,2041,4.454545
distpv,init-1,p12,2044,4.454545
distpv,init-1,p12,2047,6.363636
distpv,init-1,p12,2050,8.818182
distpv,init-1,p13,2015,87.818182
distpv,init-1,p13,2020,358.0
distpv,init-1,p13,2023,262.909091
distpv,init-1,p13,2026,56.909091
distpv,init-1,p13,2029,85.727273
distpv,init-1,p13,2032,111.090909
distpv,init-1,p13,2035,-27.909091
distpv,init-1,p13,2038,7.0
distpv,init-1,p13,2041,13.272727
distpv,init-1,p13,2044,17.181818
distpv,init-1,p13,2047,26.727273
distpv,init-1,p13,2050,30.818182
distpv,init-1,p14,2015,0.545455
distpv,init-1,p14,2020,8.454545
distpv,init-1,p14,2023,276.363636
distpv,init-1,p14,2026,14.181818
distpv,init-1,p14,2029,13.181818
distpv,init-1,p14,2032,9.727273
distpv,init-1,p14,2035,-26.181818
distpv,init-1,p14,2038,1.0
distpv,init-1,p14,2041,1.727273
distpv,init-1,p14,2044,2.090909
distpv,init-1,p14,2047,2.454545
distpv,init-1,p14,2050,2.454545
distpv,init-1,p15,2015,0.909091
distpv,init-1,p15,2020,16.909091
distpv,init-1,p15,2023,118.272727
distpv,init-1,p15,2026,8.090909
distpv,init-1,p15,2029,13.636364
distpv,init-1,p15,2032,19.727273
distpv,init-1,p15,2035,-2.090909
distpv,init-1,p15,2038,3.363636
distpv,init-1,p15,2041,5.0
distpv,init-1,p15,2044,6.090909
distpv,init-1,p15,2047,7.0
distpv,init-1,p15,2050,8.090909
distpv,init-1,p16,2015,1.272727
distpv,init-1,p16,2020,30.363636
distpv,init-1,p16,2023,270.363636
distpv,init-1,p16,2026,14.909091
distpv,init-1,p16,2029,13.454545
distpv,init-1,p16,2032,10.181818
distpv,init-1,p16,2035,-27.181818
distpv,init-1,p16,2038,1.454545
distpv,init-1,p16,2041,2.454545
distpv,init-1,p16,2044,2.636364
distpv,init-1,p16,2047,2.636364
distpv,init-1,p16,2050,3.090909
distpv,init-1,p17,2015,0.545455
distpv,init-1,p17,2020,4.0
distpv,init-1,p17,2023,4.090909
distpv,init-1,p17,2026,1.545455
distpv,init-1,p17,2029,3.0
distpv,init-1,p17,2032,5.636364
distpv,init-1,p17,2035,3.090909
distpv,init-1,p17,2038,1.727273
distpv,init-1,p17,2041,2.090909
distpv,init-1,p17,2044,2.818182
distpv,init-1,p17,2047,4.636364
distpv,init-1,p17,2050,14.363636
distpv,init-1,p18,2015,0.636364
distpv,init-1,p18,2020,4.818182
distpv,init-1,p18,2023,4.818182
distpv,init-1,p18,2026,1.727273
distpv,init-1,p18,2029,3.727273
distpv,init-1,p18,2032,6.545455
distpv,init-1,p18,2035,2.727273
distpv,init-1,p18,2038,1.363636
distpv,init-1,p18,2041,1.0
distpv,init-1,p18,2044,1.272727
distpv,init-1,p18,2047,1.090909
distpv,init-1,p18,2050,1.545455
distpv,init-1,p19,2015,0.090909
distpv,init-1,p19,2020,0.272727
distpv,init-1,p19,2023,0.272727
distpv,init-1,p19,2026,0.181818
distpv,init-1,p19,2029,0.272727
distpv,init-1,p19,2032,1.090909
distpv,init-1,p19,2035,0.181818
distpv,init-1,p19,2038,0.818182
distpv,init-1,p19,2041,0.272727
distpv,init-1,p19,2044,0.181818
distpv,init-1,p19,2047,0.909091
distpv,init-1,p19,2050,1.272727
distpv,init-1,p20,2015,0.636364
distpv,init-1,p20,2020,4.727273
