RPSCat,i,st,ast,t,Value
RPS_All,biopower,NJ,NJ,2035,168717.6
RPS_All,biopower,NJ,NJ,2038,168717.6
RPS_All,biopower,NJ,NJ,2041,168717.6
RPS_All,biopower,NJ,NJ,2044,168717.6
RPS_All,biopower,NJ,NJ,2047,168717.6
RPS_All,biopower,NJ,NJ,2050,168717.6
RPS_All,biopower,NY,NY,2026,547762.048272
RPS_All,biopower,NY,NY,2029,38894.4
RPS_All,biopower,NY,NY,2032,38894.4
RPS_All,biopower,NY,NY,2035,9986.4
RPS_All,biopower,NY,NY,2038,9986.4
RPS_All,biopower,NY,NY,2041,9986.4
RPS_All,biopower,NY,NY,2044,9986.4
RPS_All,biopower,NY,NY,2047,9986.4
RPS_All,biopower,NY,NY,2050,9986.4
RPS_All,biopower,NH,NH,2026,1031188.520817
RPS_All,biopower,NH,NH,2029,222174.607305
RPS_All,biopower,NH,NH,2032,44413.2
RPS_All,biopower,NH,NH,2035,35478.0
RPS_All,biopower,NH,NH,2038,35478.0
RPS_All,biopower,NH,NH,2041,35478.0
RPS_All,biopower,NH,NH,2044,35478.0
RPS_All,biopower,NH,NH,2047,35478.0
RPS_All,biopower,NH,NH,2050,35478.0
RPS_All,biopower,MA,MA,2026,2479017.514243
RPS_All,biopower,MA,MA,2029,2368781.252208
RPS_All,biopower,MA,MA,2032,176549.04
RPS_All,biopower,MA,MA,2035,176549.04
RPS_All,biopower,MA,MA,2041,168717.6
RPS_All,biopower,MA,MA,2044,168717.6
RPS_All,biopower,MA,MA,2047,168717.6
RPS_All,biopower,MA,MA,2050,168717.6
RPS_All,biopower,CT,CT,2026,1383633.909
RPS_All,biopower,CT,CT,2029,1381200.084
RPS_All,biopower,CT,CT,2032,98550.0
RPS_All,biopower,CT,CT,2035,98550.0
RPS_All,biopower,CT,CT,2038,98550.0
RPS_All,biopower,CT,CT,2041,98550.0
RPS_All,biopower,CT,CT,2044,98550.0
RPS_All,biopower,CT,CT,2047,98550.0
RPS_All,biopower,CT,CT,2050,98550.0
RPS_All,biopower,RI,RI,2026,23614.018714
RPS_All,biopower,RI,RI,2029,22990.796352
RPS_All,biopower,RI,RI,2032,1681.92
RPS_All,biopower,RI,RI,2035,1681.92
RPS_All,biopower,RI,RI,2038,1681.92
RPS_All,biopower,RI,RI,2041,1681.92
RPS_All,biopower,RI,RI,2044,1681.92
RPS_All,biopower,RI,RI,2047,1681.92
RPS_All,biopower,RI,RI,2050,1681.92
RPS_All,biopower,ME,CT,2029,118417.68
RPS_All,biopower,ME,CT,2038,8199.36
RPS_All,biopower,ME,RI,2047,8199.36
RPS_All,biopower,ME,ME,2026,523201.704969
RPS_All,biopower,ME,ME,2032,97078.32
RPS_All,biopower,ME,ME,2035,28172.16
RPS_All,biopower,ME,ME,2041,8199.36
RPS_All,biopower,ME,ME,2044,8199.36
RPS_All,biopower,ME,ME,2050,8199.36
RPS_All,beccs_mod,CA,CA,2041,1502111.79261
RPS_All,beccs_mod,CA,CA,2044,3568013.177116
RPS_All,beccs_mod,CA,CA,2047,4765173.357115
RPS_All,beccs_mod,CA,CA,2050,4765173.357115
RPS_All,beccs_mod,DE,DE,2035,71113.439793
RPS_All,beccs_mod,DE,DE,2038,186559.211104
RPS_All,beccs_mod,DE,DE,2041,531146.358584
RPS_All,beccs_mod,DE,DE,2044,531141.600309
RPS_All,beccs_mod,DE,DE,2047,613322.778484
RPS_All,beccs_mod,DE,DE,2050,756570.415863
RPS_All,can-imports,ND,MI,2050,7188841.24452
RPS_All,can-imports,MN,MN,2026,4390012.43988
RPS_All,can-imports,MN,MN,2029,7622754.50886
RPS_All,can-imports,MN,MN,2032,7414225.34298
RPS_All,can-imports,MN,MN,2035,7170386.31834
RPS_All,can-imports,MN,MN,2038,7005272.272448
RPS_All,can-imports,MN,MN,2041,7091113.717943
RPS_All,can-imports,MN,MN,2044,7056189.121954
RPS_All,can-imports,MN,MN,2047,6935790.195468
RPS_All,can-imports,MN,MN,2050,6915968.245923
RPS_All,can-imports,MI,MI,2026,4126698.49314
RPS_All,can-imports,MI,MI,2029,4122208.5111
RPS_All,can-imports,MI,MI,2032,4967675.12922
RPS_All,can-imports,MI,MI,2035,5292243.83094
RPS_All,can-imports,MI,MI,2038,4906065.37566
RPS_All,can-imports,MI,MI,2041,4167998.32794
RPS_All,can-imports,MI,MI,2044,3692160.2313
RPS_All,can-imports,MI,MI,2047,3304741.78098
RPS_All,can-imports,MI,MI,2050,3063532.74582
RPS_All,can-imports,NY,NY,2026,12581564.67354
RPS_All,can-imports,NY,NY,2029,12987151.051188
RPS_All,can-imports,NY,NY,2032,13988974.04388
RPS_All,can-imports,NY,NY,2035,14067614.729316
RPS_All,can-imports,NY,NY,2038,13588736.644836
RPS_All,can-imports,NY,NY,2041,13109322.5625
RPS_All,can-imports,NY,NY,2044,12656929.303528
RPS_All,can-imports,NY,NY,2047,12389086.867051
RPS_All,can-imports,NY,NY,2050,12164595.865952
RPS_All,can-imports,VT,VT,2026,10386839.450241
RPS_All,can-imports,VT,VT,2029,10614129.656842
RPS_All,can-imports,VT,VT,2032,13924508.905384
RPS_All,can-imports,VT,VT,2035,13960498.73226
RPS_All,can-imports,VT,VT,2038,14309922.452562
RPS_All,can-imports,VT,VT,2041,15915846.642734
RPS_All,can-imports,VT,VT,2044,16451561.735359
RPS_All,can-imports,VT,VT,2047,16717844.03852
RPS_All,can-imports,VT,VT,2050,17494797.271926
RPS_All,can-imports,VT,ME,2026,5063243.067493
RPS_All,can-imports,VT,ME,2029,4552407.921775
RPS_All,can-imports,VT,ME,2032,4263824.141164
RPS_All,can-imports,VT,ME,2035,3851027.481084
RPS_All,can-imports,VT,ME,2038,3022420.397017
RPS_All,can-imports,ME,ME,2026,790229.42111
RPS_All,can-imports,ME,ME,2029,1517567.833423
RPS_All,can-imports,ME,ME,2032,670341.62555
