RPSCat,st,t,Value
RPS_All,PA,2026,1694808.485686
RPS_All,MD,2026,858442.130958
RPS_All,DE,2026,602304.50209
RPS_All,DE,2029,271407.40506
RPS_All,NJ,2026,1143811.472989
RPS_All,NJ,2029,1148618.448222
RPS_All,NY,2026,7070665.581696
RPS_All,NY,2029,9322451.285508
RPS_All,NY,2032,3758835.900521
RPS_All,VT,2026,973467.306257
RPS_All,VT,2029,1064386.079729
RPS_All,NH,2026,335543.111807
RPS_All,NH,2029,331777.536048
RPS_All,MA,2026,1277366.580884
RPS_All,MA,2029,798143.687639
RPS_All,CT,2026,487336.801094
RPS_All,CT,2029,501766.631711
RPS_All,RI,2026,161272.362553
RPS_All,RI,2029,376736.012825
RPS_All,ME,2026,766496.210022
CES,VT,2041,408555.341399
CES,VT,2044,404783.3106
CES,VT,2047,1674825.259736
CES,VT,2050,1752585.587872
RPS_Wind,MD,2029,406446.875898
