RPSCat,i,st,ast,t,Value
RPS_All,biopower,MD,MD,2041,169663.68
RPS_All,biopower,MD,MD,2044,169663.68
RPS_All,biopower,MD,MD,2047,169663.68
RPS_All,biopower,MD,MD,2050,169663.68
RPS_All,biopower,MD,NJ,2026,2381939.401842
RPS_All,biopower,DE,DE,2029,1204459.121253
RPS_All,biopower,DE,DE,2032,168717.6
RPS_All,biopower,DE,DE,2035,168717.6
RPS_All,biopower,DE,DE,2038,168717.6
RPS_All,biopower,DE,DE,2041,168717.6
RPS_All,biopower,DE,DE,2044,144060.937833
RPS_All,biopower,DE,DE,2047,168717.6
RPS_All,biopower,DE,DE,2050,168717.6
RPS_All,biopower,DE,NJ,2026,1566144.01529
RPS_All,biopower,NJ,NJ,2026,2368678.902642
RPS_All,biopower,NJ,NJ,2029,168717.6
RPS_All,biopower,NJ,NJ,2032,168717.6
RPS_All,biopower,NJ,NJ,2035,168717.6
RPS_All,biopower,NJ,NJ,2038,168717.6
RPS_All,biopower,NJ,NJ,2041,168717.6
RPS_All,biopower,NJ,NJ,2044,168717.6
RPS_All,biopower,NJ,NJ,2047,168717.6
RPS_All,biopower,NJ,NJ,2050,168717.6
RPS_All,biopower,NY,NY,2026,2001420.900012
RPS_All,biopower,NY,NY,2029,142437.6
RPS_All,biopower,NY,NY,2032,142437.6
RPS_All,biopower,NY,NY,2035,113529.6
RPS_All,biopower,NY,NY,2038,113529.6
RPS_All,biopower,NY,NY,2041,113529.6
RPS_All,biopower,NY,NY,2044,113529.6
RPS_All,biopower,NY,NY,2047,113529.6
RPS_All,biopower,NY,NY,2050,113529.6
RPS_All,biopower,NH,NH,2026,804005.216837
RPS_All,biopower,NH,NH,2029,272092.173653
RPS_All,biopower,NH,NH,2032,44413.2
RPS_All,biopower,NH,NH,2035,35478.0
RPS_All,biopower,NH,NH,2038,35478.0
RPS_All,biopower,NH,NH,2041,35478.0
RPS_All,biopower,NH,NH,2044,35478.0
RPS_All,biopower,NH,NH,2047,35478.0
RPS_All,biopower,NH,NH,2050,35478.0
RPS_All,biopower,NH,MA,2026,188739.741256
RPS_All,biopower,MA,MA,2026,2478901.782838
RPS_All,biopower,MA,MA,2029,2369891.077242
RPS_All,biopower,MA,MA,2032,176549.04
RPS_All,biopower,MA,MA,2035,176549.04
RPS_All,biopower,MA,MA,2038,168717.6
RPS_All,biopower,MA,MA,2041,168717.6
RPS_All,biopower,MA,MA,2044,168717.6
RPS_All,biopower,MA,MA,2047,168717.6
RPS_All,biopower,MA,MA,2050,168717.6
RPS_All,biopower,CT,CT,2026,1383574.125375
RPS_All,biopower,CT,CT,2029,1383574.125375
RPS_All,biopower,CT,CT,2032,98550.0
RPS_All,biopower,CT,CT,2035,98550.0
RPS_All,biopower,CT,CT,2038,98550.0
RPS_All,biopower,CT,CT,2041,98550.0
RPS_All,biopower,CT,CT,2044,98550.0
RPS_All,biopower,CT,CT,2047,98550.0
RPS_All,biopower,CT,CT,2050,98550.0
RPS_All,biopower,RI,RI,2026,213695.305834
RPS_All,biopower,RI,RI,2029,213695.305834
RPS_All,biopower,RI,RI,2032,15221.210056
RPS_All,biopower,RI,RI,2035,15221.210056
RPS_All,biopower,RI,RI,2038,15221.210056
RPS_All,biopower,RI,RI,2041,15221.210056
RPS_All,biopower,RI,RI,2044,15221.210056
RPS_All,biopower,RI,RI,2047,15221.210056
RPS_All,biopower,RI,RI,2050,15221.210056
RPS_All,biopower,ME,RI,2026,569910.992761
RPS_All,biopower,ME,ME,2029,118417.68
RPS_All,biopower,ME,ME,2032,97078.32
RPS_All,biopower,ME,ME,2035,28172.16
RPS_All,biopower,ME,ME,2038,8199.36
RPS_All,biopower,ME,ME,2041,8199.36
RPS_All,biopower,ME,ME,2044,8199.36
RPS_All,biopower,ME,ME,2047,8199.36
RPS_All,biopower,ME,ME,2050,8199.36
RPS_All,beccs_mod,CA,CA,2044,924872.364596
RPS_All,beccs_mod,CA,CA,2047,1377288.790844
RPS_All,beccs_mod,CA,CA,2050,1377288.790844
RPS_All,beccs_mod,DE,DE,2038,38472.807167
RPS_All,beccs_mod,DE,DE,2041,218467.596533
RPS_All,beccs_mod,DE,DE,2044,218464.571711
RPS_All,beccs_mod,DE,DE,2047,307501.067872
RPS_All,beccs_mod,DE,DE,2050,497176.655707
RPS_All,can-imports,MN,MN,2026,4390021.07525
RPS_All,can-imports,MN,MN,2029,7622769.425375
RPS_All,can-imports,MN,MN,2032,7309298.190343
RPS_All,can-imports,MN,MN,2035,6548929.785793
RPS_All,can-imports,MN,MN,2038,6281080.189308
RPS_All,can-imports,MN,MN,2041,7022896.647746
RPS_All,can-imports,MN,MN,2044,6915380.628754
RPS_All,can-imports,MN,MN,2047,6878612.98032
RPS_All,can-imports,MN,MN,2050,6859191.127243
