eall,r,t,dr,Value
CH4,p102,2020,2.0,9997416513.486399
CH4,p102,2020,1.5,14371286238.136698
CH4,p102,2023,2.5,9073404637.95196
CH4,p102,2023,2.0,11280449009.34568
CH4,p102,2023,1.5,15755844540.227388
CH4,p102,2026,2.5,8264839011.56722
CH4,p102,2026,2.0,10355942857.86736
CH4,p102,2026,1.5,14139845055.93428
CH4,p102,2029,2.5,8567577374.283441
CH4,p102,2029,2.0,10802597558.87912
CH4,p102,2029,1.5,14481068279.35951
CH4,p102,2032,2.5,9804810148.20388
CH4,p102,2032,2.0,12279810768.138842
CH4,p102,2032,1.5,16182696361.113201
CH4,p102,2035,2.5,11743938605.0886
CH4,p102,2035,2.0,14552271749.7837
CH4,p102,2035,1.5,18892422973.4034
CH4,p102,2038,2.5,14013985095.61104
CH4,p102,2038,2.0,17214028936.34112
CH4,p102,2038,1.5,22069267867.104
CH4,p102,2041,2.5,16056796857.7813
CH4,p102,2041,2.0,19580050844.56065
CH4,p102,2041,1.5,24893810955.76885
CH4,p102,2044,2.5,18898948480.48954
CH4,p102,2044,2.0,22904023655.16282
CH4,p102,2044,1.5,29036795016.38128
CH4,p102,2047,2.5,21327618589.031643
CH4,p102,2047,2.0,25710902164.078022
CH4,p102,2047,1.5,32514805026.836582
CH4,p102,2050,2.5,21895189344.7315
CH4,p102,2050,2.0,26274227213.6778
CH4,p102,2050,1.5,33155572436.307697
CH4,p103,2020,2.5,6794556281.689799
CH4,p103,2020,2.0,8362530808.2336
CH4,p103,2020,1.5,12021138036.835798
CH4,p103,2023,2.5,6356517783.6675205
CH4,p103,2023,2.0,7902697785.100161
CH4,p103,2023,1.5,11038007232.44968
CH4,p103,2026,2.5,6265750115.39808
CH4,p103,2026,2.0,7851060385.55904
CH4,p103,2026,1.5,10719717064.89792
CH4,p103,2029,2.5,5694252940.753281
CH4,p103,2029,2.0,7179710229.64544
CH4,p103,2029,1.5,9624525350.94712
CH4,p103,2032,2.5,9210902106.742119
CH4,p103,2032,2.0,11535984191.93916
CH4,p103,2032,1.5,15202459787.8268
CH4,p103,2035,2.5,11395655543.5322
CH4,p103,2035,2.0,14120703608.289902
CH4,p103,2035,1.5,18332141526.5518
CH4,p103,2038,2.5,15080927790.372639
CH4,p103,2038,2.0,18524604214.94592
CH4,p103,2038,1.5,23749492583.263996
CH4,p103,2041,2.5,18087121382.546
CH4,p103,2041,2.0,22055878232.673
CH4,p103,2041,1.5,28041544301.717003
CH4,p103,2044,2.5,23345247594.53654
CH4,p103,2044,2.0,28292584833.11382
CH4,p103,2044,1.5,35868194979.68528
CH4,p103,2047,2.5,27496250585.4881
CH4,p103,2047,2.0,33147320491.094547
CH4,p103,2047,1.5,41919130493.82695
CH4,p103,2050,2.5,33189545357.786995
CH4,p103,2050,2.0,39827454429.34439
CH4,p103,2050,1.5,50258454398.93459
CH4,p104,2020,2.5,764046584.4531
CH4,p104,2020,2.0,940365027.0192
CH4,p104,2020,1.5,1351774726.3400998
CH4,p104,2023,2.5,894357908.90312
CH4,p104,2023,2.0,1111904427.28496
CH4,p104,2023,1.5,1553040422.89258
CH4,p104,2026,2.5,1030058829.88234
CH4,p104,2026,2.0,1290676124.18992
CH4,p104,2026,1.5,1762269323.4131598
CH4,p104,2029,2.5,699541794.8616799
CH4,p104,2029,2.0,882030958.73864
CH4,p104,2029,1.5,1182377707.61947
CH4,p104,2032,2.5,913793722.72328
CH4,p104,2032,2.0,1144460099.33304
CH4,p104,2032,1.5,1508203231.6792
CH4,p104,2035,2.5,1601706870.1832
CH4,p104,2035,2.0,1984723730.4443998
CH4,p104,2035,1.5,2576658878.1208
CH4,p104,2038,2.5,1781908361.2688599
CH4,p104,2038,2.0,2188800821.7160797
CH4,p104,2038,1.5,2806154899.636
CH4,p104,2041,2.5,1771920319.5970597
CH4,p104,2041,2.0,2160722979.6525297
CH4,p104,2041,1.5,2747113876.78537
CH4,p104,2044,2.5,2164028630.36488
CH4,p104,2044,2.0,2622630724.21704
CH4,p104,2044,1.5,3324865180.4281597
CH4,p104,2047,2.5,7503968365.1799
CH4,p104,2047,2.0,9046194992.37945
CH4,p104,2047,1.5,11440099010.719051
CH4,p104,2050,2.5,9635876522.692
CH4,p104,2050,2.0,11563051827.2304
CH4,p104,2050,1.5,14591470162.9336
CH4,p105,2020,2.5,2875356275.6529
CH4,p105,2020,2.0,3538900031.5728
CH4,p105,2020,1.5,5087168795.3859005
CH4,p105,2023,2.5,2463274024.6859202
CH4,p105,2023,2.0,3062448787.44736
CH4,p105,2023,1.5,4277442056.38028
CH4,p105,2026,2.5,3357893689.46484
CH4,p105,2026,2.0,4207481249.4499197
CH4,p105,2026,1.5,5744830167.51816
