sys_costs,r,t,Value
inv_investment_capacity_costs,p8,2029,722899251.114761
inv_investment_capacity_costs,p8,2032,305759159.877952
inv_investment_capacity_costs,p8,2035,25467807.308932
inv_investment_capacity_costs,p8,2038,2233742235.169018
inv_investment_capacity_costs,p8,2041,10612945.097608
inv_investment_capacity_costs,p8,2044,454455600.534877
inv_investment_capacity_costs,p8,2047,37912155.912753
inv_investment_capacity_costs,p8,2050,128642458.79709
inv_investment_capacity_costs,p9,2010,1293396715.401504
inv_investment_capacity_costs,p9,2015,7188425870.453658
inv_investment_capacity_costs,p9,2020,2101559512.194385
inv_investment_capacity_costs,p9,2023,6168816800.097364
inv_investment_capacity_costs,p9,2026,4864054365.808934
inv_investment_capacity_costs,p9,2029,15973798971.468712
inv_investment_capacity_costs,p9,2032,7508618425.048385
inv_investment_capacity_costs,p9,2035,16741707344.821405
inv_investment_capacity_costs,p9,2038,15811658055.438354
inv_investment_capacity_costs,p9,2041,6537628323.6104
inv_investment_capacity_costs,p9,2044,7640921029.783194
inv_investment_capacity_costs,p9,2047,5608264817.361757
inv_investment_capacity_costs,p9,2050,3248121702.249196
inv_investment_capacity_costs,p10,2010,399069353.6868
inv_investment_capacity_costs,p10,2015,19587504060.770714
inv_investment_capacity_costs,p10,2020,6513353149.433236
inv_investment_capacity_costs,p10,2023,12849463859.965715
inv_investment_capacity_costs,p10,2026,10504070569.202616
inv_investment_capacity_costs,p10,2029,5949020090.459085
inv_investment_capacity_costs,p10,2032,4362477216.546742
inv_investment_capacity_costs,p10,2035,23148904746.440987
inv_investment_capacity_costs,p10,2038,21093547370.86031
inv_investment_capacity_costs,p10,2041,17769895277.639774
inv_investment_capacity_costs,p10,2044,11507745196.608791
inv_investment_capacity_costs,p10,2047,3700192666.697093
inv_investment_capacity_costs,p10,2050,12641127566.636587
inv_investment_capacity_costs,p11,2010,152825427.6507
inv_investment_capacity_costs,p11,2015,272464875.320572
inv_investment_capacity_costs,p11,2020,1561349845.426356
inv_investment_capacity_costs,p11,2023,562055773.370845
inv_investment_capacity_costs,p11,2026,1189790268.023214
inv_investment_capacity_costs,p11,2029,1633057266.178174
inv_investment_capacity_costs,p11,2032,2813563292.895438
inv_investment_capacity_costs,p11,2035,301149417.383705
inv_investment_capacity_costs,p11,2038,272010392.660071
inv_investment_capacity_costs,p11,2041,2532854880.436422
inv_investment_capacity_costs,p11,2044,1976662160.065352
inv_investment_capacity_costs,p11,2047,933858145.64693
inv_investment_capacity_costs,p11,2050,146187419.03298
inv_investment_capacity_costs,p12,2010,54151506.4272
inv_investment_capacity_costs,p12,2015,1224295425.586614
inv_investment_capacity_costs,p12,2020,635194118.4251
