sys_costs,r,t,Value
inv_investment_capacity_costs,p110,2032,211186749.716551
inv_investment_capacity_costs,p110,2035,156332104.351064
inv_investment_capacity_costs,p110,2038,162522889.22408
inv_investment_capacity_costs,p110,2041,173413409.163622
inv_investment_capacity_costs,p110,2044,95662515.651472
inv_investment_capacity_costs,p110,2050,602577878.161671
inv_investment_capacity_costs,p111,2010,9965330.0484
inv_investment_capacity_costs,p111,2015,732730581.75693
inv_investment_capacity_costs,p111,2020,1548141283.972684
inv_investment_capacity_costs,p111,2023,1458885294.78756
inv_investment_capacity_costs,p111,2026,989809411.8
inv_investment_capacity_costs,p111,2029,1739879670.672
inv_investment_capacity_costs,p111,2032,1769745.380324
inv_investment_capacity_costs,p111,2038,1767058923.61616
inv_investment_capacity_costs,p111,2041,487864191.807275
inv_investment_capacity_costs,p111,2044,989056601.260427
inv_investment_capacity_costs,p111,2047,12043149.436184
inv_investment_capacity_costs,p111,2050,782301026.232162
inv_investment_capacity_costs,p112,2010,49735214.1296
inv_investment_capacity_costs,p112,2015,1167473443.11255
inv_investment_capacity_costs,p112,2020,1078656313.644496
inv_investment_capacity_costs,p112,2023,6684584205.81214
inv_investment_capacity_costs,p112,2026,1014643596.1704
inv_investment_capacity_costs,p112,2029,3968085727.024719
inv_investment_capacity_costs,p112,2032,1094019312.253207
inv_investment_capacity_costs,p112,2035,4987321528.697295
inv_investment_capacity_costs,p112,2038,3449685798.12566
inv_investment_capacity_costs,p112,2041,1793158709.71872
inv_investment_capacity_costs,p112,2044,2747783858.705026
inv_investment_capacity_costs,p112,2047,1392837241.060668
inv_investment_capacity_costs,p112,2050,4755427136.823309
inv_investment_capacity_costs,p113,2010,5453392.990276
inv_investment_capacity_costs,p113,2015,7530066.39891
inv_investment_capacity_costs,p113,2020,15002323.121088
inv_investment_capacity_costs,p113,2023,188927645.1062
inv_investment_capacity_costs,p113,2026,284138466.612
inv_investment_capacity_costs,p113,2029,2209055542.97293
inv_investment_capacity_costs,p113,2032,1735803288.62903
inv_investment_capacity_costs,p113,2035,3090904815.637632
inv_investment_capacity_costs,p113,2038,962869257.99221
inv_investment_capacity_costs,p113,2041,245196910.798374
inv_investment_capacity_costs,p113,2044,319326550.76361
inv_investment_capacity_costs,p113,2047,549558623.810022
inv_investment_capacity_costs,p113,2050,112020702.669972
inv_investment_capacity_costs,p114,2015,59152745.914
inv_investment_capacity_costs,p114,2020,375511524.244
inv_investment_capacity_costs,p114,2023,402015372.104
inv_investment_capacity_costs,p114,2029,1904494481.5352
inv_investment_capacity_costs,p114,2032,1458201186.222366
inv_investment_capacity_costs,p114,2038,60431340.083734
inv_investment_capacity_costs,p114,2041,50338559.472492
inv_investment_capacity_costs,p114,2044,814646422.21683
inv_investment_capacity_costs,p114,2047,772860339.843854
inv_investment_capacity_costs,p114,2050,179532286.780315
inv_investment_capacity_costs,p115,2010,4112437556.17422
inv_investment_capacity_costs,p115,2015,90829347.873209
inv_investment_capacity_costs,p115,2020,878047503.892515
inv_investment_capacity_costs,p115,2023,765830254.490294
inv_investment_capacity_costs,p115,2026,851516349.064
inv_investment_capacity_costs,p115,2029,956675158.32
inv_investment_capacity_costs,p115,2032,2921607973.42827
inv_investment_capacity_costs,p115,2035,513203195.904493
inv_investment_capacity_costs,p115,2044,441902584.749935
inv_investment_capacity_costs,p115,2047,957509535.63678
inv_investment_capacity_costs,p116,2010,196567405.7925
inv_investment_capacity_costs,p116,2015,2262692625.4595
inv_investment_capacity_costs,p116,2020,325208597.013058
inv_investment_capacity_costs,p116,2023,176919003.175
inv_investment_capacity_costs,p116,2026,191205582.22
inv_investment_capacity_costs,p116,2029,3041248820.026
inv_investment_capacity_costs,p116,2047,3641635947.574459
inv_investment_capacity_costs,p117,2015,2872664.872
inv_investment_capacity_costs,p117,2020,3816482.88
inv_investment_capacity_costs,p117,2026,636945537.876699
inv_investment_capacity_costs,p117,2029,651208021.836875
inv_investment_capacity_costs,p117,2044,466471879.881956
inv_investment_capacity_costs,p117,2047,1142031149.491964
inv_investment_capacity_costs,p117,2050,898908633.831811
inv_investment_capacity_costs,p118,2015,1639576973.312
inv_investment_capacity_costs,p118,2020,7512420.58716
inv_investment_capacity_costs,p118,2023,453293928.273
inv_investment_capacity_costs,p118,2026,879145804.768596
inv_investment_capacity_costs,p118,2029,2024229040.501
inv_investment_capacity_costs,p118,2032,792040161.570731
