eall,r,t,Value_emit,dr,Value_scc,dtau,Value
CH4,p1,2023,235010.561498,2.5,1457.0,1.025,256252274.00797138
CH4,p1,2023,235010.561498,2.0,1874.0,1.02,327985065.68509114
CH4,p1,2023,235010.561498,1.5,2564.0,1.015,446548231.7590674
CH4,p1,2024,235010.561498,2.5,1524.0,1.0,261498545.6840139
CH4,p1,2024,235010.561498,2.0,1950.0,1.0,334594595.8555296
CH4,p1,2024,235010.561498,1.5,2650.0,1.0,454705476.419053
CH4,p1,2025,448204.962967,2.5,1590.0,0.9756097560975612,507629498.1648093
CH4,p1,2025,448204.962967,2.0,2025.0,0.9803921568627452,649678429.6018819
CH4,p1,2025,448204.962967,1.5,2737.0,0.9852216748768474,882434231.7371565
CH4,p1,2026,448204.962967,2.5,1657.0,0.9518143961927424,516117244.03073406
CH4,p1,2026,448204.962967,2.0,2101.0,0.9611687812379854,660844531.8777797
CH4,p1,2026,448204.962967,1.5,2823.0,0.9706617486471404,896710769.2950618
CH4,p1,2027,448204.962967,2.5,1724.0,0.928599410919749,523888972.84777707
CH4,p1,2027,448204.962967,2.0,2176.0,0.9423223345470444,671014596.8614612
CH4,p1,2027,448204.962967,1.5,2910.0,0.9563169937410252,910685567.9328774
CH4,p1,2028,432272.210747,2.5,1791.0,0.9059506447997552,512099524.06996936
CH4,p1,2028,432272.210747,2.0,2252.0,0.9238454260265142,656631854.0190171
CH4,p1,2028,432272.210747,1.5,2996.0,0.9421842302867244,890906008.5483423
CH4,p1,2029,432272.210747,2.5,1857.0,0.8838542876095173,518020354.454077
CH4,p1,2029,432272.210747,2.0,2327.0,0.905730809829916,665196219.6140481
CH4,p1,2029,432272.210747,1.5,3083.0,0.9282603254056396,903228351.876242
CH4,p1,2030,432272.210747,2.5,1924.0,0.8622968659605048,523619875.73434424
CH4,p1,2030,432272.210747,2.0,2403.0,0.887971382186192,673452529.0210222
CH4,p1,2030,432272.210747,1.5,3169.0,0.914542192517872,914703274.1430641
CH4,p1,2031,1238561.5873,2.5,2002.0,0.8412652350834192,1523040853.4969802
CH4,p1,2031,1238561.5873,2.0,2490.0,0.8705601786139138,1960255505.223085
CH4,p1,2031,1238561.5873,1.5,3270.0,0.9010267906580018,2664403493.155073
CH4,p1,2032,1238561.5873,2.5,2080.0,0.8207465708130922,1543785470.7603228
