RPSCat,st,t,Value
RPS_All,PA,2026,1544050.234514
RPS_All,MD,2026,590722.476928
RPS_All,DE,2026,604961.652879
RPS_All,NJ,2026,1342029.47037
RPS_All,NY,2026,7450822.454916
RPS_All,NY,2029,9722946.341717
RPS_All,VT,2026,999476.118171
RPS_All,VT,2029,1033898.281973
RPS_All,NH,2026,342811.600474
RPS_All,NH,2029,334472.637994
RPS_All,MA,2026,1335493.349604
RPS_All,CT,2026,388196.128211
RPS_All,CT,2029,481753.415204
RPS_All,RI,2026,245929.419084
RPS_All,RI,2029,402931.548562
RPS_All,ME,2026,767105.818334
CES,VT,2041,1454482.342128
CES,VT,2044,1460877.295712
CES,VT,2047,1586170.083871
CES,VT,2050,1632203.47979
CES,CT,2041,2164036.304272
CES,CT,2044,3132385.889724
